37, [s0.0_000, s0.0_100, s0.0_010, s0.0_001, s0.1_000, s0.1_100, s0.1_010, s0.1_001, s0.2_000, s0.2_100, s0.2_010, s0.2_001, s1.0_000, s1.0_100, s1.0_010, s1.0_001, s1.1_000, s1.1_100, s1.1_010, s1.1_001, s1.2_000, s1.2_100, s1.2_010, s1.2_001, s2.0_000, s2.0_100, s2.0_010, s2.0_001, s2.1_000, s2.1_100, s2.1_010, s2.1_001, s2.2_000, s2.2_100, s2.2_010, s2.2_001, exit]
1, [e1]
8, [North, South, East, West, Sample, Check0, Check1, Check2]
3, [Bad, Good, Nothing]

0, []

# Transition function (s,a,s -> p)
0,0,12 -> 1
0,1,0 -> 1
0,2,4 -> 1
0,3,0 -> 1
1,0,13 -> 1
1,1,1 -> 1
1,2,5 -> 1
1,3,1 -> 1
2,0,14 -> 1
2,1,2 -> 1
2,2,6 -> 1
2,3,2 -> 1
3,0,15 -> 1
3,1,3 -> 1
3,2,7 -> 1
3,3,3 -> 1
0,4,0 -> 1
1,4,1 -> 1
2,4,2 -> 1
3,4,3 -> 1
0,5,0 -> 1
1,5,1 -> 1
2,5,2 -> 1
3,5,3 -> 1
0,6,0 -> 1
1,6,1 -> 1
2,6,2 -> 1
3,6,3 -> 1
0,7,0 -> 1
1,7,1 -> 1
2,7,2 -> 1
3,7,3 -> 1
4,0,16 -> 1
4,1,4 -> 1
4,2,8 -> 1
4,3,0 -> 1
5,0,17 -> 1
5,1,5 -> 1
5,2,9 -> 1
5,3,1 -> 1
6,0,18 -> 1
6,1,6 -> 1
6,2,10 -> 1
6,3,2 -> 1
7,0,19 -> 1
7,1,7 -> 1
7,2,11 -> 1
7,3,3 -> 1
4,4,4 -> 1
5,4,5 -> 1
6,4,6 -> 1
7,4,7 -> 1
4,5,4 -> 1
5,5,5 -> 1
6,5,6 -> 1
7,5,7 -> 1
4,6,4 -> 1
5,6,5 -> 1
6,6,6 -> 1
7,6,7 -> 1
4,7,4 -> 1
5,7,5 -> 1
6,7,6 -> 1
7,7,7 -> 1
8,0,20 -> 1
8,1,8 -> 1
8,2,36 -> 1
8,3,4 -> 1
9,0,21 -> 1
9,1,9 -> 1
9,2,36 -> 1
9,3,5 -> 1
10,0,22 -> 1
10,1,10 -> 1
10,2,36 -> 1
10,3,6 -> 1
11,0,23 -> 1
11,1,11 -> 1
11,2,36 -> 1
11,3,7 -> 1
8,4,8 -> 1
9,4,9 -> 1
10,4,10 -> 1
11,4,8 -> 1
8,5,8 -> 1
9,5,9 -> 1
10,5,10 -> 1
11,5,11 -> 1
8,6,8 -> 1
9,6,9 -> 1
10,6,10 -> 1
11,6,11 -> 1
8,7,8 -> 1
9,7,9 -> 1
10,7,10 -> 1
11,7,11 -> 1
12,0,24 -> 1
12,1,0 -> 1
12,2,16 -> 1
12,3,12 -> 1
13,0,25 -> 1
13,1,1 -> 1
13,2,17 -> 1
13,3,13 -> 1
14,0,26 -> 1
14,1,2 -> 1
14,2,18 -> 1
14,3,14 -> 1
15,0,27 -> 1
15,1,3 -> 1
15,2,19 -> 1
15,3,15 -> 1
12,4,12 -> 1
13,4,13 -> 1
14,4,14 -> 1
15,4,15 -> 1
12,5,12 -> 1
13,5,13 -> 1
14,5,14 -> 1
15,5,15 -> 1
12,6,12 -> 1
13,6,13 -> 1
14,6,14 -> 1
15,6,15 -> 1
12,7,12 -> 1
13,7,13 -> 1
14,7,14 -> 1
15,7,15 -> 1
16,0,28 -> 1
16,1,4 -> 1
16,2,20 -> 1
16,3,12 -> 1
17,0,29 -> 1
17,1,5 -> 1
17,2,21 -> 1
17,3,13 -> 1
18,0,30 -> 1
18,1,6 -> 1
18,2,22 -> 1
18,3,14 -> 1
19,0,31 -> 1
19,1,7 -> 1
19,2,23 -> 1
19,3,15 -> 1
16,4,16 -> 1
17,4,16 -> 1
18,4,18 -> 1
19,4,19 -> 1
16,5,16 -> 1
17,5,17 -> 1
18,5,18 -> 1
19,5,19 -> 1
16,6,16 -> 1
17,6,17 -> 1
18,6,18 -> 1
19,6,19 -> 1
16,7,16 -> 1
17,7,17 -> 1
18,7,18 -> 1
19,7,19 -> 1
20,0,32 -> 1
20,1,8 -> 1
20,2,36 -> 1
20,3,16 -> 1
21,0,33 -> 1
21,1,9 -> 1
21,2,36 -> 1
21,3,17 -> 1
22,0,34 -> 1
22,1,10 -> 1
22,2,36 -> 1
22,3,18 -> 1
23,0,35 -> 1
23,1,11 -> 1
23,2,36 -> 1
23,3,19 -> 1
20,4,20 -> 1
21,4,21 -> 1
22,4,22 -> 1
23,4,23 -> 1
20,5,20 -> 1
21,5,21 -> 1
22,5,22 -> 1
23,5,23 -> 1
20,6,20 -> 1
21,6,21 -> 1
22,6,22 -> 1
23,6,23 -> 1
20,7,20 -> 1
21,7,21 -> 1
22,7,22 -> 1
23,7,23 -> 1
24,0,24 -> 1
24,1,12 -> 1
24,2,28 -> 1
24,3,24 -> 1
25,0,25 -> 1
25,1,13 -> 1
25,2,29 -> 1
25,3,25 -> 1
26,0,26 -> 1
26,1,14 -> 1
26,2,30 -> 1
26,3,26 -> 1
27,0,27 -> 1
27,1,15 -> 1
27,2,31 -> 1
27,3,27 -> 1
24,4,24 -> 1
25,4,25 -> 1
26,4,26 -> 1
27,4,27 -> 1
24,5,24 -> 1
25,5,25 -> 1
26,5,26 -> 1
27,5,27 -> 1
24,6,24 -> 1
25,6,25 -> 1
26,6,26 -> 1
27,6,27 -> 1
24,7,24 -> 1
25,7,25 -> 1
26,7,26 -> 1
27,7,27 -> 1
28,0,28 -> 1
28,1,16 -> 1
28,2,32 -> 1
28,3,24 -> 1
29,0,29 -> 1
29,1,17 -> 1
29,2,33 -> 1
29,3,25 -> 1
30,0,30 -> 1
30,1,18 -> 1
30,2,34 -> 1
30,3,26 -> 1
31,0,31 -> 1
31,1,19 -> 1
31,2,35 -> 1
31,3,27 -> 1
28,4,28 -> 1
29,4,29 -> 1
30,4,30 -> 1
31,4,31 -> 1
28,5,28 -> 1
29,5,29 -> 1
30,5,30 -> 1
31,5,31 -> 1
28,6,28 -> 1
29,6,29 -> 1
30,6,30 -> 1
31,6,31 -> 1
28,7,28 -> 1
29,7,29 -> 1
30,7,30 -> 1
31,7,31 -> 1
32,0,32 -> 1
32,1,20 -> 1
32,2,36 -> 1
32,3,28 -> 1
33,0,33 -> 1
33,1,21 -> 1
33,2,36 -> 1
33,3,29 -> 1
34,0,34 -> 1
34,1,22 -> 1
34,2,36 -> 1
34,3,30 -> 1
35,0,35 -> 1
35,1,23 -> 1
35,2,36 -> 1
35,3,31 -> 1
32,4,32 -> 1
33,4,33 -> 1
34,4,32 -> 1
35,4,35 -> 1
32,5,32 -> 1
33,5,33 -> 1
34,5,34 -> 1
35,5,35 -> 1
32,6,32 -> 1
33,6,33 -> 1
34,6,34 -> 1
35,6,35 -> 1
32,7,32 -> 1
33,7,33 -> 1
34,7,34 -> 1
35,7,35 -> 1
36,_,36 -> 1

# Observation function (a,s,o -> p)
0,0,2 -> 1
0,1,2 -> 1
0,2,2 -> 1
0,3,2 -> 1
0,4,2 -> 1
0,5,2 -> 1
0,6,2 -> 1
0,7,2 -> 1
0,8,2 -> 1
0,9,2 -> 1
0,10,2 -> 1
0,11,2 -> 1
0,12,2 -> 1
0,13,2 -> 1
0,14,2 -> 1
0,15,2 -> 1
0,16,2 -> 1
0,17,2 -> 1
0,18,2 -> 1
0,19,2 -> 1
0,20,2 -> 1
0,21,2 -> 1
0,22,2 -> 1
0,23,2 -> 1
0,24,2 -> 1
0,25,2 -> 1
0,26,2 -> 1
0,27,2 -> 1
0,28,2 -> 1
0,29,2 -> 1
0,30,2 -> 1
0,31,2 -> 1
0,32,2 -> 1
0,33,2 -> 1
0,34,2 -> 1
0,35,2 -> 1
1,0,2 -> 1
1,1,2 -> 1
1,2,2 -> 1
1,3,2 -> 1
1,4,2 -> 1
1,5,2 -> 1
1,6,2 -> 1
1,7,2 -> 1
1,8,2 -> 1
1,9,2 -> 1
1,10,2 -> 1
1,11,2 -> 1
1,12,2 -> 1
1,13,2 -> 1
1,14,2 -> 1
1,15,2 -> 1
1,16,2 -> 1
1,17,2 -> 1
1,18,2 -> 1
1,19,2 -> 1
1,20,2 -> 1
1,21,2 -> 1
1,22,2 -> 1
1,23,2 -> 1
1,24,2 -> 1
1,25,2 -> 1
1,26,2 -> 1
1,27,2 -> 1
1,28,2 -> 1
1,29,2 -> 1
1,30,2 -> 1
1,31,2 -> 1
1,32,2 -> 1
1,33,2 -> 1
1,34,2 -> 1
1,35,2 -> 1
2,0,2 -> 1
2,1,2 -> 1
2,2,2 -> 1
2,3,2 -> 1
2,4,2 -> 1
2,5,2 -> 1
2,6,2 -> 1
2,7,2 -> 1
2,8,2 -> 1
2,9,2 -> 1
2,10,2 -> 1
2,11,2 -> 1
2,12,2 -> 1
2,13,2 -> 1
2,14,2 -> 1
2,15,2 -> 1
2,16,2 -> 1
2,17,2 -> 1
2,18,2 -> 1
2,19,2 -> 1
2,20,2 -> 1
2,21,2 -> 1
2,22,2 -> 1
2,23,2 -> 1
2,24,2 -> 1
2,25,2 -> 1
2,26,2 -> 1
2,27,2 -> 1
2,28,2 -> 1
2,29,2 -> 1
2,30,2 -> 1
2,31,2 -> 1
2,32,2 -> 1
