64, [s0.0_000, s0.0_100, s0.0_010, s0.0_001, s0.0_110, s0.0_101, s0.0_011, s0.1_000, s0.1_100, s0.1_010, s0.1_001, s0.1_110, s0.1_101, s0.1_011, s0.2_000, s0.2_100, s0.2_010, s0.2_001, s0.2_110, s0.2_101, s0.2_011, s1.0_000, s1.0_100, s1.0_010, s1.0_001, s1.0_110, s1.0_101, s1.0_011, s1.1_000, s1.1_100, s1.1_010, s1.1_001, s1.1_110, s1.1_101, s1.1_011, s1.2_000, s1.2_100, s1.2_010, s1.2_001, s1.2_110, s1.2_101, s1.2_011, s2.0_000, s2.0_100, s2.0_010, s2.0_001, s2.0_110, s2.0_101, s2.0_011, s2.1_000, s2.1_100, s2.1_010, s2.1_001, s2.1_110, s2.1_101, s2.1_011, s2.2_000, s2.2_100, s2.2_010, s2.2_001, s2.2_110, s2.2_101, s2.2_011, exit]
1, [e1]
8, [North, South, East, West, Sample, Check0, Check1, Check2]
3, [Bad, Good, Nothing]

0, []

# Transition function (s,a,s -> p)
0,0,21 -> 1
0,1,0 -> 1
0,2,7 -> 1
0,3,0 -> 1
1,0,22 -> 1
1,1,1 -> 1
1,2,8 -> 1
1,3,1 -> 1
2,0,23 -> 1
2,1,2 -> 1
2,2,9 -> 1
2,3,2 -> 1
3,0,24 -> 1
3,1,3 -> 1
3,2,10 -> 1
3,3,3 -> 1
4,0,25 -> 1
4,1,4 -> 1
4,2,11 -> 1
4,3,4 -> 1
5,0,26 -> 1
5,1,5 -> 1
5,2,12 -> 1
5,3,5 -> 1
6,0,27 -> 1
6,1,6 -> 1
6,2,13 -> 1
6,3,6 -> 1
0,4,0 -> 1
1,4,1 -> 1
2,4,2 -> 1
3,4,3 -> 1
4,4,4 -> 1
5,4,5 -> 1
6,4,6 -> 1
0,5,0 -> 1
1,5,1 -> 1
2,5,2 -> 1
3,5,3 -> 1
4,5,4 -> 1
5,5,5 -> 1
6,5,6 -> 1
0,6,0 -> 1
1,6,1 -> 1
2,6,2 -> 1
3,6,3 -> 1
4,6,4 -> 1
5,6,5 -> 1
6,6,6 -> 1
0,7,0 -> 1
1,7,1 -> 1
2,7,2 -> 1
3,7,3 -> 1
4,7,4 -> 1
5,7,5 -> 1
6,7,6 -> 1
7,0,28 -> 1
7,1,7 -> 1
7,2,14 -> 1
7,3,0 -> 1
8,0,29 -> 1
8,1,8 -> 1
8,2,15 -> 1
8,3,1 -> 1
9,0,30 -> 1
9,1,9 -> 1
9,2,16 -> 1
9,3,2 -> 1
10,0,31 -> 1
10,1,10 -> 1
10,2,17 -> 1
10,3,3 -> 1
11,0,32 -> 1
11,1,11 -> 1
11,2,18 -> 1
11,3,4 -> 1
12,0,33 -> 1
12,1,12 -> 1
12,2,19 -> 1
12,3,5 -> 1
13,0,34 -> 1
13,1,13 -> 1
13,2,20 -> 1
13,3,6 -> 1
7,4,7 -> 1
8,4,7 -> 1
9,4,9 -> 1
10,4,10 -> 1
11,4,9 -> 1
12,4,10 -> 1
13,4,13 -> 1
7,5,7 -> 1
8,5,8 -> 1
9,5,9 -> 1
10,5,10 -> 1
11,5,11 -> 1
12,5,12 -> 1
13,5,13 -> 1
7,6,7 -> 1
8,6,8 -> 1
9,6,9 -> 1
10,6,10 -> 1
11,6,11 -> 1
12,6,12 -> 1
13,6,13 -> 1
7,7,7 -> 1
8,7,8 -> 1
9,7,9 -> 1
10,7,10 -> 1
11,7,11 -> 1
12,7,12 -> 1
13,7,13 -> 1
14,0,35 -> 1
14,1,14 -> 1
14,2,63 -> 1
14,3,7 -> 1
15,0,36 -> 1
15,1,15 -> 1
15,2,63 -> 1
15,3,8 -> 1
16,0,37 -> 1
16,1,16 -> 1
16,2,63 -> 1
16,3,9 -> 1
17,0,38 -> 1
17,1,17 -> 1
17,2,63 -> 1
17,3,10 -> 1
18,0,39 -> 1
18,1,18 -> 1
18,2,63 -> 1
18,3,11 -> 1
19,0,40 -> 1
19,1,19 -> 1
19,2,63 -> 1
19,3,12 -> 1
20,0,41 -> 1
20,1,20 -> 1
20,2,63 -> 1
20,3,13 -> 1
14,4,14 -> 1
15,4,15 -> 1
16,4,14 -> 1
17,4,17 -> 1
18,4,15 -> 1
19,4,19 -> 1
