145, [s0.0_00000, s0.0_10000, s0.0_01000, s0.0_00100, s0.0_00010, s0.0_00001, s0.0_11000, s0.0_10100, s0.0_10010, s0.0_10001, s0.0_01100, s0.0_01010, s0.0_01001, s0.0_00110, s0.0_00101, s0.0_00011, s0.1_00000, s0.1_10000, s0.1_01000, s0.1_00100, s0.1_00010, s0.1_00001, s0.1_11000, s0.1_10100, s0.1_10010, s0.1_10001, s0.1_01100, s0.1_01010, s0.1_01001, s0.1_00110, s0.1_00101, s0.1_00011, s0.2_00000, s0.2_10000, s0.2_01000, s0.2_00100, s0.2_00010, s0.2_00001, s0.2_11000, s0.2_10100, s0.2_10010, s0.2_10001, s0.2_01100, s0.2_01010, s0.2_01001, s0.2_00110, s0.2_00101, s0.2_00011, s1.0_00000, s1.0_10000, s1.0_01000, s1.0_00100, s1.0_00010, s1.0_00001, s1.0_11000, s1.0_10100, s1.0_10010, s1.0_10001, s1.0_01100, s1.0_01010, s1.0_01001, s1.0_00110, s1.0_00101, s1.0_00011, s1.1_00000, s1.1_10000, s1.1_01000, s1.1_00100, s1.1_00010, s1.1_00001, s1.1_11000, s1.1_10100, s1.1_10010, s1.1_10001, s1.1_01100, s1.1_01010, s1.1_01001, s1.1_00110, s1.1_00101, s1.1_00011, s1.2_00000, s1.2_10000, s1.2_01000, s1.2_00100, s1.2_00010, s1.2_00001, s1.2_11000, s1.2_10100, s1.2_10010, s1.2_10001, s1.2_01100, s1.2_01010, s1.2_01001, s1.2_00110, s1.2_00101, s1.2_00011, s2.0_00000, s2.0_10000, s2.0_01000, s2.0_00100, s2.0_00010, s2.0_00001, s2.0_11000, s2.0_10100, s2.0_10010, s2.0_10001, s2.0_01100, s2.0_01010, s2.0_01001, s2.0_00110, s2.0_00101, s2.0_00011, s2.1_00000, s2.1_10000, s2.1_01000, s2.1_00100, s2.1_00010, s2.1_00001, s2.1_11000, s2.1_10100, s2.1_10010, s2.1_10001, s2.1_01100, s2.1_01010, s2.1_01001, s2.1_00110, s2.1_00101, s2.1_00011, s2.2_00000, s2.2_10000, s2.2_01000, s2.2_00100, s2.2_00010, s2.2_00001, s2.2_11000, s2.2_10100, s2.2_10010, s2.2_10001, s2.2_01100, s2.2_01010, s2.2_01001, s2.2_00110, s2.2_00101, s2.2_00011, exit]
1, [e1]
10, [North, South, East, West, Sample, Check0, Check1, Check2, Check3, Check4]
3, [Bad, Good, Nothing]

0, []

# Transition function (s,a,s -> p)
0,0,48 -> 1
0,1,0 -> 1
0,2,16 -> 1
0,3,0 -> 1
1,0,49 -> 1
1,1,1 -> 1
1,2,17 -> 1
1,3,1 -> 1
2,0,50 -> 1
2,1,2 -> 1
2,2,18 -> 1
2,3,2 -> 1
3,0,51 -> 1
3,1,3 -> 1
3,2,19 -> 1
3,3,3 -> 1
4,0,52 -> 1
4,1,4 -> 1
4,2,20 -> 1
4,3,4 -> 1
5,0,53 -> 1
5,1,5 -> 1
5,2,21 -> 1
5,3,5 -> 1
6,0,54 -> 1
6,1,6 -> 1
6,2,22 -> 1
6,3,6 -> 1
7,0,55 -> 1
7,1,7 -> 1
7,2,23 -> 1
7,3,7 -> 1
8,0,56 -> 1
8,1,8 -> 1
8,2,24 -> 1
8,3,8 -> 1
9,0,57 -> 1
9,1,9 -> 1
9,2,25 -> 1
9,3,9 -> 1
10,0,58 -> 1
10,1,10 -> 1
10,2,26 -> 1
10,3,10 -> 1
11,0,59 -> 1
11,1,11 -> 1
11,2,27 -> 1
11,3,11 -> 1
12,0,60 -> 1
12,1,12 -> 1
12,2,28 -> 1
12,3,12 -> 1
13,0,61 -> 1
13,1,13 -> 1
13,2,29 -> 1
13,3,13 -> 1
14,0,62 -> 1
14,1,14 -> 1
14,2,30 -> 1
14,3,14 -> 1
15,0,63 -> 1
15,1,15 -> 1
15,2,31 -> 1
15,3,15 -> 1
0,4,0 -> 1
1,4,1 -> 1
2,4,2 -> 1
3,4,3 -> 1
4,4,4 -> 1
5,4,5 -> 1
6,4,6 -> 1
7,4,7 -> 1
8,4,8 -> 1
9,4,9 -> 1
10,4,10 -> 1
11,4,11 -> 1
12,4,12 -> 1
13,4,13 -> 1
14,4,14 -> 1
15,4,15 -> 1
0,5,0 -> 1
1,5,1 -> 1
2,5,2 -> 1
3,5,3 -> 1
4,5,4 -> 1
5,5,5 -> 1
6,5,6 -> 1
7,5,7 -> 1
8,5,8 -> 1
9,5,9 -> 1
10,5,10 -> 1
11,5,11 -> 1
12,5,12 -> 1
13,5,13 -> 1
14,5,14 -> 1
15,5,15 -> 1
0,6,0 -> 1
1,6,1 -> 1
2,6,2 -> 1
3,6,3 -> 1
4,6,4 -> 1
5,6,5 -> 1
6,6,6 -> 1
7,6,7 -> 1
8,6,8 -> 1
9,6,9 -> 1
10,6,10 -> 1
11,6,11 -> 1
12,6,12 -> 1
13,6,13 -> 1
14,6,14 -> 1
15,6,15 -> 1
0,7,0 -> 1
1,7,1 -> 1
2,7,2 -> 1
3,7,3 -> 1
4,7,4 -> 1
5,7,5 -> 1
6,7,6 -> 1
7,7,7 -> 1
8,7,8 -> 1
9,7,9 -> 1
10,7,10 -> 1
11,7,11 -> 1
12,7,12 -> 1
13,7,13 -> 1
14,7,14 -> 1
15,7,15 -> 1
0,8,0 -> 1
1,8,1 -> 1
2,8,2 -> 1
3,8,3 -> 1
4,8,4 -> 1
5,8,5 -> 1
6,8,6 -> 1
7,8,7 -> 1
8,8,8 -> 1
9,8,9 -> 1
10,8,10 -> 1
11,8,11 -> 1
12,8,12 -> 1
13,8,13 -> 1
14,8,14 -> 1
15,8,15 -> 1
0,9,0 -> 1
1,9,1 -> 1
2,9,2 -> 1
