49, [s0.0_00, s0.0_10, s0.0_01, s0.1_00, s0.1_10, s0.1_01, s0.2_00, s0.2_10, s0.2_01, s0.3_00, s0.3_10, s0.3_01, s1.0_00, s1.0_10, s1.0_01, s1.1_00, s1.1_10, s1.1_01, s1.2_00, s1.2_10, s1.2_01, s1.3_00, s1.3_10, s1.3_01, s2.0_00, s2.0_10, s2.0_01, s2.1_00, s2.1_10, s2.1_01, s2.2_00, s2.2_10, s2.2_01, s2.3_00, s2.3_10, s2.3_01, s3.0_00, s3.0_10, s3.0_01, s3.1_00, s3.1_10, s3.1_01, s3.2_00, s3.2_10, s3.2_01, s3.3_00, s3.3_10, s3.3_01, exit]
1, [e1]
7, [North, South, East, West, Sample, Check0, Check1]
3, [Bad, Good, Nothing]

0, []

# Transition function (s,a,s -> p)
0,0,12 -> 1
0,1,0 -> 1
0,2,3 -> 1
0,3,0 -> 1
1,0,13 -> 1
1,1,1 -> 1
1,2,4 -> 1
1,3,1 -> 1
2,0,14 -> 1
2,1,2 -> 1
2,2,5 -> 1
2,3,2 -> 1
0,4,0 -> 1
1,4,1 -> 1
2,4,2 -> 1
0,5,0 -> 1
1,5,1 -> 1
2,5,2 -> 1
0,6,0 -> 1
1,6,1 -> 1
2,6,2 -> 1
3,0,15 -> 1
3,1,3 -> 1
3,2,6 -> 1
3,3,0 -> 1
4,0,16 -> 1
4,1,4 -> 1
4,2,7 -> 1
4,3,1 -> 1
5,0,17 -> 1
5,1,5 -> 1
5,2,8 -> 1
5,3,2 -> 1
3,4,3 -> 1
4,4,4 -> 1
5,4,5 -> 1
3,5,3 -> 1
4,5,4 -> 1
5,5,5 -> 1
3,6,3 -> 1
4,6,4 -> 1
5,6,5 -> 1
6,0,18 -> 1
6,1,6 -> 1
6,2,9 -> 1
6,3,3 -> 1
7,0,19 -> 1
7,1,7 -> 1
7,2,10 -> 1
7,3,4 -> 1
8,0,20 -> 1
8,1,8 -> 1
8,2,11 -> 1
8,3,5 -> 1
6,4,6 -> 1
7,4,7 -> 1
8,4,8 -> 1
6,5,6 -> 1
7,5,7 -> 1
8,5,8 -> 1
6,6,6 -> 1
7,6,7 -> 1
8,6,8 -> 1
9,0,21 -> 1
9,1,9 -> 1
9,2,48 -> 1
9,3,6 -> 1
10,0,22 -> 1
10,1,10 -> 1
10,2,48 -> 1
10,3,7 -> 1
11,0,23 -> 1
11,1,11 -> 1
11,2,48 -> 1
11,3,8 -> 1
9,4,9 -> 1
10,4,10 -> 1
11,4,11 -> 1
9,5,9 -> 1
10,5,10 -> 1
11,5,11 -> 1
9,6,9 -> 1
10,6,10 -> 1
11,6,11 -> 1
12,0,24 -> 1
12,1,0 -> 1
12,2,15 -> 1
12,3,12 -> 1
13,0,25 -> 1
13,1,1 -> 1
13,2,16 -> 1
13,3,13 -> 1
14,0,26 -> 1
14,1,2 -> 1
14,2,17 -> 1
14,3,14 -> 1
12,4,12 -> 1
13,4,13 -> 1
14,4,14 -> 1
12,5,12 -> 1
13,5,13 -> 1
14,5,14 -> 1
12,6,12 -> 1
13,6,13 -> 1
14,6,14 -> 1
15,0,27 -> 1
15,1,3 -> 1
15,2,18 -> 1
15,3,12 -> 1
16,0,28 -> 1
16,1,4 -> 1
16,2,19 -> 1
16,3,13 -> 1
17,0,29 -> 1
17,1,5 -> 1
17,2,20 -> 1
17,3,14 -> 1
15,4,15 -> 1
16,4,15 -> 1
17,4,17 -> 1
15,5,15 -> 1
16,5,16 -> 1
17,5,17 -> 1
15,6,15 -> 1
16,6,16 -> 1
17,6,17 -> 1
18,0,30 -> 1
18,1,6 -> 1
18,2,21 -> 1
18,3,15 -> 1
19,0,31 -> 1
19,1,7 -> 1
19,2,22 -> 1
19,3,16 -> 1
20,0,32 -> 1
20,1,8 -> 1
20,2,23 -> 1
20,3,17 -> 1
18,4,18 -> 1
19,4,19 -> 1
20,4,20 -> 1
18,5,18 -> 1
19,5,19 -> 1
20,5,20 -> 1
18,6,18 -> 1
19,6,19 -> 1
20,6,20 -> 1
21,0,33 -> 1
21,1,9 -> 1
21,2,48 -> 1
21,3,18 -> 1
22,0,34 -> 1
22,1,10 -> 1
22,2,48 -> 1
22,3,19 -> 1
23,0,35 -> 1
23,1,11 -> 1
23,2,48 -> 1
23,3,20 -> 1
21,4,21 -> 1
22,4,22 -> 1
23,4,23 -> 1
21,5,21 -> 1
22,5,22 -> 1
23,5,23 -> 1
21,6,21 -> 1
22,6,22 -> 1
23,6,23 -> 1
24,0,36 -> 1
24,1,12 -> 1
24,2,27 -> 1
24,3,24 -> 1
25,0,37 -> 1
25,1,13 -> 1
25,2,28 -> 1
25,3,25 -> 1
26,0,38 -> 1
26,1,14 -> 1
26,2,29 -> 1
26,3,26 -> 1
24,4,24 -> 1
25,4,25 -> 1
26,4,26 -> 1
24,5,24 -> 1
25,5,25 -> 1
26,5,26 -> 1
24,6,24 -> 1
25,6,25 -> 1
26,6,26 -> 1
27,0,39 -> 1
27,1,15 -> 1
27,2,30 -> 1
27,3,24 -> 1
28,0,40 -> 1
28,1,16 -> 1
28,2,31 -> 1
28,3,25 -> 1
29,0,41 -> 1
29,1,17 -> 1
29,2,32 -> 1
29,3,26 -> 1
27,4,27 -> 1
28,4,28 -> 1
29,4,29 -> 1
27,5,27 -> 1
28,5,28 -> 1
29,5,29 -> 1
27,6,27 -> 1
28,6,28 -> 1
29,6,29 -> 1
30,0,42 -> 1
30,1,18 -> 1
30,2,33 -> 1
30,3,27 -> 1
31,0,43 -> 1
31,1,19 -> 1
31,2,34 -> 1
31,3,28 -> 1
32,0,44 -> 1
32,1,20 -> 1
32,2,35 -> 1
32,3,29 -> 1
30,4,30 -> 1
31,4,31 -> 1
32,4,32 -> 1
30,5,30 -> 1
31,5,31 -> 1
32,5,32 -> 1
30,6,30 -> 1
31,6,31 -> 1
32,6,32 -> 1
33,0,45 -> 1
33,1,21 -> 1
33,2,48 -> 1
33,3,30 -> 1
34,0,46 -> 1
34,1,22 -> 1
34,2,48 -> 1
34,3,31 -> 1
35,0,47 -> 1
35,1,23 -> 1
35,2,48 -> 1
35,3,32 -> 1
33,4,33 -> 1
34,4,34 -> 1
35,4,33 -> 1
33,5,33 -> 1
34,5,34 -> 1
35,5,35 -> 1
33,6,33 -> 1
34,6,34 -> 1
35,6,35 -> 1
36,0,36 -> 1
36,1,24 -> 1
36,2,39 -> 1
36,3,36 -> 1
37,0,37 -> 1
37,1,25 -> 1
37,2,40 -> 1
37,3,37 -> 1
38,0,38 -> 1
38,1,26 -> 1
38,2,41 -> 1
38,3,38 -> 1
36,4,36 -> 1
37,4,37 -> 1
38,4,38 -> 1
36,5,36 -> 1
37,5,37 -> 1
38,5,38 -> 1
36,6,36 -> 1
37,6,37 -> 1
38,6,38 -> 1
39,0,39 -> 1
39,1,27 -> 1
39,2,42 -> 1
39,3,36 -> 1
40,0,40 -> 1
40,1,28 -> 1
40,2,43 -> 1
40,3,37 -> 1
41,0,41 -> 1
41,1,29 -> 1
41,2,44 -> 1
41,3,38 -> 1
39,4,39 -> 1
40,4,40 -> 1
41,4,41 -> 1
39,5,39 -> 1
40,5,40 -> 1
41,5,41 -> 1
39,6,39 -> 1
40,6,40 -> 1
41,6,41 -> 1
42,0,42 -> 1
42,1,30 -> 1
42,2,45 -> 1
42,3,39 -> 1
43,0,43 -> 1
43,1,31 -> 1
43,2,46 -> 1
43,3,40 -> 1
44,0,44 -> 1
44,1,32 -> 1
44,2,47 -> 1
44,3,41 -> 1
42,4,42 -> 1
43,4,43 -> 1
44,4,44 -> 1
42,5,42 -> 1
43,5,43 -> 1
44,5,44 -> 1
42,6,42 -> 1
43,6,43 -> 1
44,6,44 -> 1
45,0,45 -> 1
45,1,33 -> 1
45,2,48 -> 1
45,3,42 -> 1
46,0,46 -> 1
46,1,34 -> 1
46,2,48 -> 1
46,3,43 -> 1
47,0,47 -> 1
47,1,35 -> 1
47,2,48 -> 1
47,3,44 -> 1
45,4,45 -> 1
46,4,46 -> 1
47,4,47 -> 1
45,5,45 -> 1
46,5,46 -> 1
47,5,47 -> 1
45,6,45 -> 1
46,6,46 -> 1
47,6,47 -> 1
48,_,48 -> 1

# Observation function (a,s,o -> p)
0,0,2 -> 1
0,1,2 -> 1
0,2,2 -> 1
0,3,2 -> 1
0,4,2 -> 1
0,5,2 -> 1
0,6,2 -> 1
0,7,2 -> 1
0,8,2 -> 1
0,9,2 -> 1
0,10,2 -> 1
0,11,2 -> 1
0,12,2 -> 1
0,13,2 -> 1
0,14,2 -> 1
0,15,2 -> 1
0,16,2 -> 1
0,17,2 -> 1
0,18,2 -> 1
0,19,2 -> 1
0,20,2 -> 1
0,21,2 -> 1
0,22,2 -> 1
0,23,2 -> 1
0,24,2 -> 1
0,25,2 -> 1
0,26,2 -> 1
0,27,2 -> 1
0,28,2 -> 1
0,29,2 -> 1
0,30,2 -> 1
0,31,2 -> 1
0,32,2 -> 1
0,33,2 -> 1
0,34,2 -> 1
0,35,2 -> 1
0,36,2 -> 1
0,37,2 -> 1
0,38,2 -> 1
0,39,2 -> 1
0,40,2 -> 1
0,41,2 -> 1
0,42,2 -> 1
0,43,2 -> 1
0,44,2 -> 1
0,45,2 -> 1
0,46,2 -> 1
0,47,2 -> 1
1,0,2 -> 1
1,1,2 -> 1
