109, [s0.0_00, s0.0_10, s0.0_01, s0.1_00, s0.1_10, s0.1_01, s0.2_00, s0.2_10, s0.2_01, s0.3_00, s0.3_10, s0.3_01, s0.4_00, s0.4_10, s0.4_01, s0.5_00, s0.5_10, s0.5_01, s1.0_00, s1.0_10, s1.0_01, s1.1_00, s1.1_10, s1.1_01, s1.2_00, s1.2_10, s1.2_01, s1.3_00, s1.3_10, s1.3_01, s1.4_00, s1.4_10, s1.4_01, s1.5_00, s1.5_10, s1.5_01, s2.0_00, s2.0_10, s2.0_01, s2.1_00, s2.1_10, s2.1_01, s2.2_00, s2.2_10, s2.2_01, s2.3_00, s2.3_10, s2.3_01, s2.4_00, s2.4_10, s2.4_01, s2.5_00, s2.5_10, s2.5_01, s3.0_00, s3.0_10, s3.0_01, s3.1_00, s3.1_10, s3.1_01, s3.2_00, s3.2_10, s3.2_01, s3.3_00, s3.3_10, s3.3_01, s3.4_00, s3.4_10, s3.4_01, s3.5_00, s3.5_10, s3.5_01, s4.0_00, s4.0_10, s4.0_01, s4.1_00, s4.1_10, s4.1_01, s4.2_00, s4.2_10, s4.2_01, s4.3_00, s4.3_10, s4.3_01, s4.4_00, s4.4_10, s4.4_01, s4.5_00, s4.5_10, s4.5_01, s5.0_00, s5.0_10, s5.0_01, s5.1_00, s5.1_10, s5.1_01, s5.2_00, s5.2_10, s5.2_01, s5.3_00, s5.3_10, s5.3_01, s5.4_00, s5.4_10, s5.4_01, s5.5_00, s5.5_10, s5.5_01, exit]
1, [e1]
7, [North, South, East, West, Sample, Check0, Check1]
3, [Bad, Good, Nothing]

0, []

# Transition function (s,a,s -> p)
0,0,18 -> 1
0,1,0 -> 1
0,2,3 -> 1
0,3,0 -> 1
1,0,19 -> 1
1,1,1 -> 1
1,2,4 -> 1
1,3,1 -> 1
2,0,20 -> 1
2,1,2 -> 1
2,2,5 -> 1
2,3,2 -> 1
0,4,0 -> 1
1,4,1 -> 1
2,4,2 -> 1
0,5,0 -> 1
1,5,1 -> 1
2,5,2 -> 1
0,6,0 -> 1
1,6,1 -> 1
2,6,2 -> 1
3,0,21 -> 1
3,1,3 -> 1
3,2,6 -> 1
3,3,0 -> 1
4,0,22 -> 1
4,1,4 -> 1
4,2,7 -> 1
4,3,1 -> 1
5,0,23 -> 1
5,1,5 -> 1
5,2,8 -> 1
5,3,2 -> 1
3,4,3 -> 1
4,4,4 -> 1
5,4,5 -> 1
3,5,3 -> 1
4,5,4 -> 1
5,5,5 -> 1
3,6,3 -> 1
4,6,4 -> 1
5,6,5 -> 1
6,0,24 -> 1
6,1,6 -> 1
6,2,9 -> 1
6,3,3 -> 1
7,0,25 -> 1
7,1,7 -> 1
7,2,10 -> 1
7,3,4 -> 1
8,0,26 -> 1
8,1,8 -> 1
8,2,11 -> 1
8,3,5 -> 1
6,4,6 -> 1
7,4,7 -> 1
8,4,8 -> 1
6,5,6 -> 1
7,5,7 -> 1
8,5,8 -> 1
6,6,6 -> 1
7,6,7 -> 1
8,6,8 -> 1
9,0,27 -> 1
9,1,9 -> 1
9,2,12 -> 1
9,3,6 -> 1
10,0,28 -> 1
10,1,10 -> 1
10,2,13 -> 1
10,3,7 -> 1
11,0,29 -> 1
11,1,11 -> 1
11,2,14 -> 1
11,3,8 -> 1
