hardware_spec,op,target,control,success,num_errors
fake_algiers,Op.X,0,-1,0.9996000599880016,5
fake_algiers,Op.X,1,-1,0.0,10
fake_algiers,Op.X,2,-1,0.0,6
fake_algiers,Op.X,3,-1,0.99951113,3
fake_algiers,Op.X,4,-1,0.0,10
fake_algiers,Op.X,5,-1,0.0,10
fake_algiers,Op.X,6,-1,0.0,10
fake_algiers,Op.X,7,-1,0.0,6
fake_algiers,Op.X,8,-1,0.0,6
fake_algiers,Op.X,9,-1,0.9995831799874955,5
fake_algiers,Op.X,10,-1,0.9819246505422604,6
fake_algiers,Op.X,11,-1,0.9990967500090326,3
fake_algiers,Op.X,12,-1,0.999118169823634,5
fake_algiers,Op.X,13,-1,0.0,10
fake_algiers,Op.X,14,-1,0.0,3
fake_algiers,Op.X,15,-1,0.0,10
fake_algiers,Op.X,16,-1,0.998326489983265,3
fake_algiers,Op.X,17,-1,0.99958602,3
fake_algiers,Op.X,18,-1,0.9984142791754252,5
fake_algiers,Op.X,19,-1,0.9994753399790136,5
fake_algiers,Op.X,20,-1,0.9990824298256619,5
fake_algiers,Op.X,21,-1,0.9989591298438695,5
fake_algiers,Op.X,22,-1,0.0,10
fake_algiers,Op.X,23,-1,0.99944065,3
fake_algiers,Op.X,24,-1,0.99962459,3
fake_algiers,Op.X,25,-1,0.9995720499914409,5
fake_algiers,Op.X,26,-1,0.9985222292611148,5
fake_algiers,Op.RESET,0,-1,0.9909036,3
fake_algiers,Op.RESET,1,-1,0.0,3
fake_algiers,Op.RESET,2,-1,0.0,2
fake_algiers,Op.RESET,3,-1,0.9846008401539916,3
fake_algiers,Op.RESET,4,-1,0.0,3
fake_algiers,Op.RESET,5,-1,0.0,3
fake_algiers,Op.RESET,6,-1,0.0,3
fake_algiers,Op.RESET,7,-1,0.0,2
fake_algiers,Op.RESET,8,-1,0.0,2
fake_algiers,Op.RESET,9,-1,0.99270995,3
fake_algiers,Op.RESET,10,-1,0.6708115267081153,3
fake_algiers,Op.RESET,11,-1,0.97628606,3
fake_algiers,Op.RESET,12,-1,0.98497249,3
fake_algiers,Op.RESET,13,-1,0.0,3
fake_algiers,Op.RESET,14,-1,0.0,3
fake_algiers,Op.RESET,15,-1,0.0,3
