algorithm_index,min_success0,avg_success0,max_success0,min_success1,avg_success1,max_success1,min_meas_succ,avg_meas_succ,max_meas_succ,min_diff_meas,avg_diff_meas,max_diff_meas,min_abs_diff_meas,avg_abs_diff_meas,max_abs_diff_meas,min_succ_1Q,avg_succ_1Q,max_succ_1Q,min_succ_2Q,avg_succ_2Q,max_succ_2Q,num_hardwares
0,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.0,0.0,0.0,0.0,0.0,0.0,0.999323,0.9994125,0.999502,100,0.0,0.0,2
1,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.0,0.0,0.0,0.0,0.0,0.0,0.999323,0.9994125,0.999502,100,0.0,0.0,2
2,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.0,0.0,0.0,0.0,0.0,0.0,0.999323,0.9994125,0.999502,100,0.0,0.0,2
3,0.9825,0.9828333333333333,0.983,0.9825,0.9828333333333333,0.983,0.9825,0.9828333333333333,0.983,0.0,0.0,0.0,0.0,0.0,0.0,0.998548,0.9991243333333334,0.999502,100,0.0,0.0,3
4,0.9805,0.98382775,0.99,0.9805,0.98382775,0.99,0.9805,0.98382775,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.998784,0.9995955789473685,1.0,100,0.0,0.0,12
5,0.9817,0.9840933,0.9868,0.9817,0.9840933,0.9868,0.9817,0.9840933,0.9868,0.0,0.0,0.0,0.0,0.0,0.0,0.999203,0.999673375,1.0,100,0.0,0.0,10
6,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.99799,0.99799,0.99799,100,0.0,0.0,1
7,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.99799,0.99799,0.99799,100,0.0,0.0,1
8,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.99799,0.99799,0.99799,100,0.0,0.0,1
9,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.99799,0.99799,0.99799,100,0.0,0.0,1
10,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.99799,0.99799,0.99799,100,0.0,0.0,1
11,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.99799,0.99799,0.99799,100,0.0,0.0,1
12,0.994385,0.9944616666666667,0.9945,0.994385,0.9944616666666667,0.9945,0.994385,0.9944616666666667,0.9945,0.0,0.0,0.0,0.0,0.0,0.0,0.99962,0.9998330000000001,1.0,100,0.0,0.0,3
13,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.0,0.0,0.0,0.0,0.0,0.0,0.99962,0.9998355,1.0,100,0.0,0.0,2
14,0.994385,0.9945645000000001,0.994873,0.994385,0.9945645000000001,0.994873,0.994385,0.9945645000000001,0.994873,0.0,0.0,0.0,0.0,0.0,0.0,0.999308,0.99978825,1.0,100,0.0,0.0,4
15,0.994385,0.9944616666666667,0.9945,0.994385,0.9944616666666667,0.9945,0.994385,0.9944616666666667,0.9945,0.0,0.0,0.0,0.0,0.0,0.0,0.99962,0.9998330000000001,1.0,100,0.0,0.0,3
16,0.9904,0.9945128636363637,0.998535,0.9904,0.9945128636363637,0.998535,0.9904,0.9945128636363637,0.998535,0.0,0.0,0.0,0.0,0.0,0.0,0.999126,0.9998243636363636,1.0,100,0.0,0.0,22
