hardware,embedding_index,horizon,method,time,result,threshold
cambridge,0,1,convex,0.011440,1,0.661850
cambridge,0,2,convex,0.005060,1,0.665600
cambridge,0,3,convex,0.006880,1,0.744360
cambridge,0,4,convex,0.012700,1,0.744500
cambridge,0,5,convex,0.022280,1,0.748660
cambridge,0,6,convex,0.036460,1,0.748660
cambridge,1,1,convex,0.002400,1,0.548550
cambridge,1,2,convex,0.004070,1,0.554000
cambridge,1,3,convex,0.006060,1,0.572130
cambridge,1,4,convex,0.010490,1,0.580170
cambridge,1,5,convex,0.016300,1,0.588950
cambridge,1,6,convex,0.030100,1,0.598850
hanoi,0,1,convex,0.002360,1,0.664440
hanoi,0,2,convex,0.004880,1,0.665660
hanoi,0,3,convex,0.007450,1,0.747550
hanoi,0,4,convex,0.015270,1,0.747560
hanoi,0,5,convex,0.026780,1,0.748930
hanoi,0,6,convex,0.046640,1,0.748930
hanoi,1,1,convex,0.002390,1,0.645820
hanoi,1,2,convex,0.004970,1,0.663790
hanoi,1,3,convex,0.007590,1,0.721700
hanoi,1,4,convex,0.015420,1,0.724850
hanoi,1,5,convex,0.027200,1,0.742550
hanoi,1,6,convex,0.047010,1,0.742720
jakarta,0,1,convex,0.002070,1,0.662070
jakarta,0,2,convex,0.003840,1,0.665610
jakarta,0,3,convex,0.006280,1,0.744680
jakarta,0,4,convex,0.011940,1,0.744810
jakarta,0,5,convex,0.020570,1,0.748730
jakarta,0,6,convex,0.034120,1,0.748730
jakarta,1,1,convex,0.002060,1,0.652860
jakarta,1,2,convex,0.003960,1,0.664900
jakarta,1,3,convex,0.006470,1,0.732250
jakarta,1,4,convex,0.012320,1,0.733690
jakarta,1,5,convex,0.021630,1,0.746300
jakarta,1,6,convex,0.036290,1,0.746340
ourense,0,1,convex,0.002030,1,0.662250
ourense,0,2,convex,0.003730,1,0.665610
ourense,0,3,convex,0.006100,1,0.744900
ourense,0,4,convex,0.011370,1,0.745020
ourense,0,5,convex,0.019890,1,0.748740
ourense,0,6,convex,0.032970,1,0.748740
ourense,1,1,convex,0.002040,1,0.653070
ourense,1,2,convex,0.004030,1,0.664930
ourense,1,3,convex,0.006370,1,0.732530
ourense,1,4,convex,0.012100,1,0.733930
ourense,1,5,convex,0.021210,1,0.746360
ourense,1,6,convex,0.035540,1,0.746400
washington,0,1,convex,0.003760,1,0.574260
washington,0,2,convex,0.005770,1,0.587600
washington,0,3,convex,0.008680,1,0.607170
washington,0,4,convex,0.016230,1,0.626340
washington,0,5,convex,0.057680,1,0.637820
washington,0,6,convex,0.107400,1,0.647880
washington,1,1,convex,0.004050,1,0.665040
washington,1,2,convex,0.010740,1,0.665660
washington,1,3,convex,0.014600,1,0.748230
washington,1,4,convex,0.035610,1,0.748230
washington,1,5,convex,0.062610,1,0.748930
washington,1,6,convex,0.117700,1,0.748930
yorktown,0,1,convex,0.002200,1,0.659400
yorktown,0,2,convex,0.004040,1,0.665490
yorktown,0,3,convex,0.006370,1,0.741240
yorktown,0,4,convex,0.011970,1,0.741620
yorktown,0,5,convex,0.020810,1,0.748280
yorktown,0,6,convex,0.034830,1,0.748290
yorktown,1,1,convex,0.002050,1,0.584990
yorktown,1,2,convex,0.003630,1,0.602850
yorktown,1,3,convex,0.005290,1,0.620570
yorktown,1,4,convex,0.012130,1,0.643370
yorktown,1,5,convex,0.021170,1,0.657480
yorktown,1,6,convex,0.035670,1,0.665950
athens,0,1,convex,0.002070,1,0.663410
athens,0,2,convex,0.003850,1,0.665640
athens,0,3,convex,0.006140,1,0.746280
athens,0,4,convex,0.011380,1,0.746330
athens,0,5,convex,0.019950,1,0.748830
athens,0,6,convex,0.032990,1,0.748830
athens,1,1,convex,0.002020,1,0.660180
athens,1,2,convex,0.003820,1,0.665530
athens,1,3,convex,0.006240,1,0.742280
athens,1,4,convex,0.011760,1,0.742570
athens,1,5,convex,0.020470,1,0.748450
athens,1,6,convex,0.034050,1,0.748450
auckland,0,1,convex,0.002230,1,0.664440
auckland,0,2,convex,0.004380,1,0.665660
auckland,0,3,convex,0.006920,1,0.747530
auckland,0,4,convex,0.013600,1,0.747550
auckland,0,5,convex,0.023750,1,0.748910
auckland,0,6,convex,0.040340,1,0.748910
auckland,1,1,convex,0.002340,1,0.661340
auckland,1,2,convex,0.005030,1,0.665580
auckland,1,3,convex,0.007660,1,0.743740
auckland,1,4,convex,0.015840,1,0.743920
auckland,1,5,convex,0.027690,1,0.748600
auckland,1,6,convex,0.048230,1,0.748600
essex,0,1,convex,0.002010,1,0.658700
essex,0,2,convex,0.003370,1,0.665440
essex,0,3,convex,0.005790,1,0.740230
essex,0,4,convex,0.010030,1,0.740700
essex,0,5,convex,0.017500,1,0.748040
essex,0,6,convex,0.028070,1,0.748040
essex,1,1,convex,0.002050,1,0.652790
essex,1,2,convex,0.003380,1,0.664890
essex,1,3,convex,0.005830,1,0.731990
essex,1,4,convex,0.010110,1,0.733460
essex,1,5,convex,0.017700,1,0.746110
essex,1,6,convex,0.028340,1,0.746150
kyiv,0,1,convex,0.003440,1,0.665290
kyiv,0,2,convex,0.009220,1,0.665670
kyiv,0,3,convex,0.012910,1,0.748510
kyiv,0,4,convex,0.031060,1,0.748510
kyiv,0,5,convex,0.059190,1,0.748940
kyiv,0,6,convex,0.106880,1,0.748940
kyiv,1,1,convex,0.003910,1,0.500580
kyiv,1,2,convex,0.005320,1,0.500590
kyiv,1,3,convex,0.008880,1,0.501370
kyiv,1,4,convex,0.018040,1,0.501380
kyiv,1,5,convex,0.028200,1,0.501970
kyiv,1,6,convex,0.046960,1,0.501980
prague,0,1,convex,0.002420,1,0.641120
prague,0,2,convex,0.004840,1,0.662760
prague,0,3,convex,0.007330,1,0.714150
prague,0,4,convex,0.014770,1,0.718710
prague,0,5,convex,0.026170,1,0.738980
prague,0,6,convex,0.044860,1,0.739340
prague,1,1,convex,0.002510,1,0.664040
prague,1,2,convex,0.005500,1,0.665650
prague,1,3,convex,0.008220,1,0.747100
prague,1,4,convex,0.017510,1,0.747130
prague,1,5,convex,0.030570,1,0.748940
prague,1,6,convex,0.054350,1,0.748940
perfect_hardware,0,1,convex,0.001600,1,0.665670
perfect_hardware,0,2,convex,0.001950,1,0.665670
perfect_hardware,0,3,convex,0.002720,1,0.749000
perfect_hardware,0,4,convex,0.003250,1,0.749000
perfect_hardware,0,5,convex,0.003880,1,0.749000
perfect_hardware,0,6,convex,0.004630,1,0.749000
