hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index
algiers,0,1,0.140310,0.598190,bellman,0.000000,0
algiers,0,1,0.140310,-0.000000,convex,0.000000,1
algiers,0,2,0.140310,0.598190,bellman,0.000000,2
algiers,0,2,0.140310,0.498490,convex,0.000000,3
algiers,0,3,0.140310,0.992200,bellman,0.000000,4
algiers,0,3,0.140310,0.992200,convex,0.000000,5
algiers,0,4,0.140310,0.993150,bellman,2.000000,6
algiers,0,4,0.140310,0.992200,convex,4.000000,7
algiers,0,5,0.140310,0.996920,bellman,9.000000,8
algiers,0,5,0.140310,0.996920,convex,19.000000,9
algiers,0,6,0.140310,0.996930,bellman,41.000000,10
algiers,0,6,0.140310,0.996920,convex,82.000000,11
algiers,1,1,0.244640,0.598190,bellman,0.000000,0
algiers,1,1,0.244640,-0.000000,convex,0.000000,1
algiers,1,2,0.244640,0.598190,bellman,0.000000,2
algiers,1,2,0.244640,0.498490,convex,0.000000,3
algiers,1,3,0.244640,0.941750,bellman,0.000000,4
algiers,1,3,0.244640,0.941750,convex,0.000000,5
algiers,1,4,0.244640,0.952190,bellman,2.000000,6
algiers,1,4,0.244640,0.941750,convex,4.000000,7
algiers,1,5,0.244640,0.988150,bellman,9.000000,8
algiers,1,5,0.244640,0.988150,convex,19.000000,9
algiers,1,6,0.244640,0.989780,bellman,41.000000,10
algiers,1,6,0.244640,0.988150,convex,82.000000,11
algiers,2,1,0.237320,0.280000,bellman,0.000000,0
algiers,2,1,0.237320,-0.000000,convex,0.000000,1
algiers,2,2,0.237320,0.280000,bellman,0.000000,2
algiers,2,2,0.237320,0.233330,convex,0.000000,3
algiers,2,3,0.237320,0.464430,bellman,0.000000,4
algiers,2,3,0.237320,0.464430,convex,0.000000,5
algiers,2,4,0.237320,0.497510,bellman,2.000000,12
algiers,2,4,0.237320,0.495510,convex,4.000000,13
algiers,2,5,0.237320,0.499560,bellman,9.000000,14
algiers,2,5,0.237320,0.498480,convex,19.000000,15
algiers,2,6,0.237320,0.499970,bellman,41.000000,16
algiers,2,6,0.237320,0.499840,convex,82.000000,17
algiers,3,1,0.286770,0.280000,bellman,0.000000,0
algiers,3,1,0.286770,-0.000000,convex,0.000000,1
algiers,3,2,0.286770,0.280000,bellman,0.000000,2
algiers,3,2,0.286770,0.233330,convex,0.000000,3
algiers,3,3,0.286770,0.440810,bellman,0.000000,4
algiers,3,3,0.286770,0.440810,convex,0.000000,5
algiers,3,4,0.286770,0.472220,bellman,2.000000,12
algiers,3,4,0.286770,0.470800,convex,4.000000,18
algiers,3,5,0.286770,0.492190,bellman,9.000000,14
algiers,3,5,0.286770,0.490620,convex,19.000000,19
algiers,3,6,0.286770,0.495560,bellman,41.000000,16
algiers,3,6,0.286770,0.495320,convex,82.000000,20
almaden,0,1,0.183410,0.595580,bellman,0.000000,0
almaden,0,1,0.183410,-0.000000,convex,0.000000,1
almaden,0,2,0.183410,0.595580,bellman,0.000000,2
almaden,0,2,0.183410,0.496310,convex,0.000000,3
almaden,0,3,0.183410,0.977740,bellman,0.000000,4
almaden,0,3,0.183410,0.977740,convex,0.000000,5
almaden,0,4,0.183410,0.980670,bellman,2.000000,6
almaden,0,4,0.183410,0.977740,convex,4.000000,7
almaden,0,5,0.183410,0.991960,bellman,9.000000,8
almaden,0,5,0.183410,0.991960,convex,19.000000,9
almaden,0,6,0.183410,0.992090,bellman,41.000000,10
almaden,0,6,0.183410,0.991960,convex,82.000000,11
almaden,1,1,0.185680,0.595580,bellman,0.000000,0
almaden,1,1,0.185680,-0.000000,convex,0.000000,1
almaden,1,2,0.185680,0.595580,bellman,0.000000,2
almaden,1,2,0.185680,0.496310,convex,0.000000,3
almaden,1,3,0.185680,0.767630,bellman,0.000000,4
almaden,1,3,0.185680,0.767630,convex,0.000000,5
almaden,1,4,0.185680,0.802430,bellman,2.000000,6
almaden,1,4,0.185680,0.767630,convex,4.000000,7
almaden,1,5,0.185680,0.862750,bellman,9.000000,8
almaden,1,5,0.185680,0.862750,convex,19.000000,9
almaden,1,6,0.185680,0.881050,bellman,41.000000,10
almaden,1,6,0.185680,0.862750,convex,82.000000,11
almaden,2,1,0.155520,0.570080,bellman,0.000000,0
almaden,2,1,0.155520,-0.000000,convex,0.000000,1
almaden,2,2,0.155520,0.570080,bellman,0.000000,2
almaden,2,2,0.155520,0.475070,convex,0.000000,3
almaden,2,3,0.155520,0.935880,bellman,0.000000,4
almaden,2,3,0.155520,0.935880,convex,0.000000,5
almaden,2,4,0.155520,0.938690,bellman,2.000000,6
almaden,2,4,0.155520,0.935880,convex,4.000000,7
almaden,2,5,0.155520,0.949500,bellman,9.000000,8
almaden,2,5,0.155520,0.949500,convex,19.000000,9
almaden,2,6,0.155520,0.949620,bellman,41.000000,10
almaden,2,6,0.155520,0.949500,convex,82.000000,11
almaden,3,1,0.158960,0.570080,bellman,0.000000,0
almaden,3,1,0.158960,-0.000000,convex,0.000000,1
almaden,3,2,0.158960,0.570080,bellman,0.000000,2
almaden,3,2,0.158960,0.475070,convex,0.000000,3
almaden,3,3,0.158960,0.734770,bellman,0.000000,4
almaden,3,3,0.158960,0.734770,convex,0.000000,5
almaden,3,4,0.158960,0.768080,bellman,2.000000,6
almaden,3,4,0.158960,0.734770,convex,4.000000,7
almaden,3,5,0.158960,0.825810,bellman,9.000000,8
almaden,3,5,0.158960,0.825810,convex,19.000000,9
almaden,3,6,0.158960,0.843330,bellman,41.000000,10
almaden,3,6,0.158960,0.825810,convex,82.000000,11
athens,0,1,0.129210,0.596820,bellman,0.000000,0
athens,0,1,0.129210,-0.000000,convex,0.000000,1
athens,0,2,0.129210,0.596820,bellman,0.000000,2
athens,0,2,0.129210,0.497350,convex,0.000000,3
athens,0,3,0.129210,0.984650,bellman,0.000000,4
athens,0,3,0.129210,0.984650,convex,0.000000,5
athens,0,4,0.129210,0.986640,bellman,2.000000,6
athens,0,4,0.129210,0.984650,convex,4.000000,7
athens,0,5,0.129210,0.994390,bellman,9.000000,8
athens,0,5,0.129210,0.994390,convex,19.000000,9
athens,0,6,0.129210,0.994450,bellman,41.000000,10
athens,0,6,0.129210,0.994390,convex,82.000000,11
athens,1,1,0.135880,0.589830,bellman,0.000000,0
