hardware,embedding_index,algorithm_index,probability,method
algiers,0,0,0.598190,bellman
algiers,0,1,0.000000,convex
algiers,0,2,0.598190,bellman
algiers,0,3,0.498490,convex
algiers,0,4,0.992200,bellman
algiers,0,5,0.992200,convex
algiers,0,6,0.993150,bellman
algiers,0,7,0.992200,convex
algiers,0,8,0.996920,bellman
algiers,0,9,0.996920,convex
algiers,0,10,0.996930,bellman
algiers,0,11,0.996920,convex
algiers,0,12,0.790790,bellman
algiers,0,13,0.006240,convex
algiers,0,14,0.796480,bellman
algiers,0,15,0.466640,convex
algiers,0,16,0.502770,bellman
algiers,0,17,0.504130,convex
algiers,0,18,0.006100,convex
algiers,0,19,0.079910,convex
algiers,0,20,0.504390,convex
algiers,0,21,0.006180,convex
algiers,0,22,0.204240,convex
algiers,0,23,0.502770,bellman
algiers,0,24,0.504390,convex
algiers,0,25,0.594610,bellman
algiers,0,26,0.989590,bellman
algiers,0,27,0.006010,convex
algiers,0,28,0.499490,bellman
algiers,0,29,0.021720,convex
algiers,0,30,0.505620,bellman
algiers,0,31,0.504480,convex
algiers,0,32,0.006190,convex
algiers,0,33,0.238600,convex
algiers,0,34,0.504470,convex
algiers,0,35,0.006240,convex
algiers,0,36,0.433680,convex
algiers,0,37,0.504390,convex
algiers,0,38,0.006070,convex
algiers,0,39,0.057520,convex
algiers,0,40,0.504610,convex
algiers,0,41,0.993150,bellman
algiers,0,42,0.992200,convex
algiers,0,43,0.996920,bellman
algiers,0,44,0.996920,convex
algiers,0,45,0.996930,bellman
algiers,0,46,0.996920,convex
algiers,0,47,0.598190,bellman
algiers,0,48,0.598190,bellman
algiers,0,49,0.992200,convex
algiers,0,50,0.991270,bellman
algiers,0,51,0.989380,bellman
algiers,0,52,0.006000,convex
algiers,0,53,0.021380,convex
algiers,0,54,0.504280,convex
algiers,0,55,0.006230,convex
algiers,0,56,0.401400,convex
algiers,0,57,0.504080,convex
algiers,0,58,0.006210,convex
algiers,0,59,0.299540,convex
algiers,0,60,0.504280,convex
algiers,0,61,0.499490,bellman
algiers,0,62,0.505620,bellman
algiers,0,63,0.006010,convex
algiers,0,64,0.023850,convex
algiers,0,65,0.501730,convex
algiers,0,66,0.006260,convex
algiers,0,67,0.597330,convex
algiers,0,68,0.501320,convex
algiers,0,69,0.992200,bellman
algiers,0,70,0.992200,bellman
algiers,0,71,0.992200,bellman
algiers,0,72,0.992200,convex
algiers,0,73,0.992200,bellman
algiers,0,74,0.992200,convex
algiers,0,75,0.598190,bellman
algiers,0,76,0.992200,bellman
algiers,0,77,0.991250,bellman
algiers,0,78,0.996920,bellman
algiers,0,79,0.996900,bellman
algiers,0,80,0.000000,convex
algiers,0,81,0.498490,convex
algiers,0,82,0.992200,convex
algiers,0,83,0.987440,convex
algiers,0,84,0.996920,convex
algiers,0,85,0.996850,convex
algiers,1,0,0.598190,bellman
algiers,1,1,0.000000,convex
