hardware,embedding_index,horizon,method,time,result,threshold
algiers,0,1,bellman,0.008360,1,0.597190
algiers,0,1,convex,0.012940,1,0.000000
algiers,0,2,bellman,0.005520,1,0.597190
algiers,0,2,convex,0.016280,1,0.497490
algiers,0,3,bellman,0.010910,1,0.991200
algiers,0,3,convex,0.012800,1,0.991200
algiers,0,4,bellman,0.017340,1,0.992150
algiers,0,4,convex,0.058230,1,0.991200
algiers,0,5,bellman,0.034420,1,0.995920
algiers,0,5,convex,0.043810,1,0.995920
algiers,0,6,bellman,0.059790,1,0.995930
algiers,0,6,convex,0.178360,1,0.995920
algiers,1,1,bellman,0.007380,1,0.597190
algiers,1,1,convex,0.007760,1,0.000000
algiers,1,2,bellman,0.008850,1,0.597190
algiers,1,2,convex,0.023680,1,0.497490
algiers,1,3,bellman,0.017270,1,0.940750
algiers,1,3,convex,0.019720,1,0.940750
algiers,1,4,bellman,0.028740,1,0.951190
algiers,1,4,convex,0.085150,1,0.940750
algiers,1,5,bellman,0.054140,1,0.987150
algiers,1,5,convex,0.070460,1,0.987150
algiers,1,6,bellman,0.094980,1,0.988780
algiers,1,6,convex,0.277040,1,0.987150
algiers,2,1,bellman,0.006370,1,0.279000
algiers,2,1,convex,0.006540,1,0.000000
algiers,2,2,bellman,0.007670,1,0.279000
algiers,2,2,convex,0.023290,1,0.232330
algiers,2,3,bellman,0.016080,1,0.463430
algiers,2,3,convex,0.019840,1,0.463430
algiers,2,4,bellman,0.056440,1,0.496510
algiers,2,4,convex,0.199700,1,0.494510
algiers,2,5,bellman,0.091610,1,0.498560
algiers,2,5,convex,0.284950,1,0.497480
algiers,2,6,bellman,0.177910,1,0.498970
algiers,2,6,convex,1.350560,1,0.498840
algiers,3,1,bellman,0.007840,1,0.279000
algiers,3,1,convex,0.008160,1,0.000000
algiers,3,2,bellman,0.009390,1,0.279000
algiers,3,2,convex,0.026580,1,0.232330
algiers,3,3,bellman,0.018990,1,0.439810
algiers,3,3,convex,0.023150,1,0.439810
algiers,3,4,bellman,0.070740,1,0.471220
algiers,3,4,convex,0.247710,1,0.469800
algiers,3,5,bellman,0.113520,1,0.491190
algiers,3,5,convex,0.345560,1,0.489620
algiers,3,6,bellman,0.221040,1,0.494560
algiers,3,6,convex,1.220990,0,0.494320
almaden,0,1,bellman,0.006040,1,0.594580
almaden,0,1,convex,0.006250,1,0.000000
almaden,0,2,bellman,0.007240,1,0.594580
almaden,0,2,convex,0.021190,1,0.495310
almaden,0,3,bellman,0.013910,1,0.976740
almaden,0,3,convex,0.017510,1,0.976740
almaden,0,4,bellman,0.021550,1,0.979670
almaden,0,4,convex,0.072250,1,0.976740
almaden,0,5,bellman,0.043250,1,0.990960
almaden,0,5,convex,0.058130,1,0.990960
almaden,0,6,bellman,0.073740,1,0.991090
almaden,0,6,convex,0.224750,1,0.990960
almaden,1,1,bellman,0.006000,1,0.594580
almaden,1,1,convex,0.006360,1,0.000000
almaden,1,2,bellman,0.007310,1,0.594580
almaden,1,2,convex,0.021080,1,0.495310
almaden,1,3,bellman,0.014180,1,0.766630
almaden,1,3,convex,0.017720,1,0.766630
almaden,1,4,bellman,0.021670,1,0.801430
almaden,1,4,convex,0.072970,1,0.766630
almaden,1,5,bellman,0.043750,1,0.861750
almaden,1,5,convex,0.059050,1,0.861750
almaden,1,6,bellman,0.074010,1,0.880050
almaden,1,6,convex,0.226470,1,0.861750
almaden,2,1,bellman,0.005240,1,0.569080
almaden,2,1,convex,0.005390,1,0.000000
almaden,2,2,bellman,0.006310,1,0.569080
almaden,2,2,convex,0.018310,1,0.474070
almaden,2,3,bellman,0.012110,1,0.934880
almaden,2,3,convex,0.014890,1,0.934880
almaden,2,4,bellman,0.018300,1,0.937690
almaden,2,4,convex,0.063210,1,0.934880
almaden,2,5,bellman,0.037490,1,0.948500
almaden,2,5,convex,0.048780,1,0.948500
almaden,2,6,bellman,0.062390,1,0.948620
almaden,2,6,convex,0.191760,1,0.948500
