hardware,embedding_index,horizon,method,time,result,threshold
cambridge,0,3,bellman,0.041890,1,0.499000
cambridge,0,4,bellman,0.035450,1,0.944140
cambridge,0,5,bellman,0.036320,1,0.944140
cambridge,0,6,bellman,0.056010,1,0.959010
cambridge,0,7,bellman,0.057970,1,0.959010
cambridge,1,3,bellman,0.005570,1,0.499000
cambridge,1,4,bellman,0.033920,1,0.915390
cambridge,1,5,bellman,0.039680,1,0.915390
cambridge,1,6,bellman,0.054800,1,0.929310
cambridge,1,7,bellman,0.081820,1,0.929310
cambridge,2,3,bellman,0.031290,1,0.499000
cambridge,2,4,bellman,0.036720,1,0.505960
cambridge,2,5,bellman,0.038590,1,0.505960
cambridge,2,6,bellman,0.059210,1,0.509270
cambridge,2,7,bellman,0.061180,1,0.509270
jakarta,0,3,bellman,0.012170,1,0.499000
jakarta,0,4,bellman,0.015710,1,0.966830
jakarta,0,5,bellman,0.016390,1,0.966830
jakarta,0,6,bellman,0.029920,1,0.985610
jakarta,0,7,bellman,0.031040,1,0.985620
jakarta,1,3,bellman,0.012530,1,0.499000
jakarta,1,4,bellman,0.016100,1,0.965430
jakarta,1,5,bellman,0.016810,1,0.965430
jakarta,1,6,bellman,0.030320,1,0.984160
jakarta,1,7,bellman,0.031340,1,0.984160
jakarta,2,3,bellman,0.003240,1,0.499000
jakarta,2,4,bellman,0.017650,1,0.963700
jakarta,2,5,bellman,0.018350,1,0.963700
jakarta,2,6,bellman,0.032470,1,0.986620
jakarta,2,7,bellman,0.033520,1,0.986620
jakarta,3,3,bellman,0.003440,1,0.499000
jakarta,3,4,bellman,0.019260,1,0.935930
jakarta,3,5,bellman,0.019640,1,0.935930
jakarta,3,6,bellman,0.033910,1,0.981740
jakarta,3,7,bellman,0.035430,1,0.981740
jakarta,4,3,bellman,0.014090,1,0.499000
jakarta,4,4,bellman,0.017920,1,0.931590
jakarta,4,5,bellman,0.018750,1,0.931590
jakarta,4,6,bellman,0.033110,1,0.976950
jakarta,4,7,bellman,0.034280,1,0.976950
yorktown,0,3,bellman,0.004160,1,0.499000
yorktown,0,4,bellman,0.015140,1,0.910440
yorktown,0,5,bellman,0.019990,1,0.910440
yorktown,0,6,bellman,0.029070,1,0.959230
yorktown,0,7,bellman,0.049930,1,0.959230
yorktown,1,3,bellman,0.004080,1,0.499000
yorktown,1,4,bellman,0.015240,1,0.940550
yorktown,1,5,bellman,0.019980,1,0.940550
yorktown,1,6,bellman,0.029120,1,0.967160
yorktown,1,7,bellman,0.049720,1,0.967160
yorktown,2,3,bellman,0.003000,1,0.499000
yorktown,2,4,bellman,0.015810,1,0.863700
yorktown,2,5,bellman,0.016650,1,0.863700
yorktown,2,6,bellman,0.030450,1,0.938040
yorktown,2,7,bellman,0.031300,1,0.938040
yorktown,3,3,bellman,0.003160,1,0.499000
yorktown,3,4,bellman,0.016560,1,0.851590
yorktown,3,5,bellman,0.017360,1,0.851590
yorktown,3,6,bellman,0.031240,1,0.923470
yorktown,3,7,bellman,0.032350,1,0.923470
yorktown,4,3,bellman,0.003170,1,0.499000
yorktown,4,4,bellman,0.016920,1,0.948920
yorktown,4,5,bellman,0.017770,1,0.948920
yorktown,4,6,bellman,0.031680,1,0.973160
yorktown,4,7,bellman,0.032720,1,0.973160
