hardware,embedding_index,method,horizon,algorithm_index,baseline_index,algorithm_prob,baseline_prob,diff
algiers,0,bellman,2,0,490,0.995090,0.995090,0.000000
algiers,0,bellman,3,1,492,0.995090,0.995090,0.000000
algiers,0,bellman,4,2,494,0.999820,0.999820,0.000000
algiers,0,bellman,5,3,496,0.999930,0.999820,0.000110
algiers,0,bellman,6,4,498,0.999990,0.999890,0.000100
algiers,0,bellman,7,5,500,1.000000,0.999890,0.000110
algiers,0,bellman,8,6,501,1.000000,0.999890,0.000110
algiers,1,bellman,2,0,490,0.944180,0.944180,-0.000000
algiers,1,bellman,3,1,492,0.944180,0.944180,-0.000000
algiers,1,bellman,4,2,494,0.990670,0.990670,-0.000000
algiers,1,bellman,5,3,496,0.991050,0.990670,0.000380
algiers,1,bellman,6,7,498,0.997970,0.997970,-0.000000
algiers,1,bellman,7,5,500,0.998400,0.997970,0.000430
algiers,1,bellman,8,8,501,0.999510,0.999240,0.000270
almaden,0,bellman,2,0,490,0.984560,0.984560,-0.000000
almaden,0,bellman,3,1,492,0.984560,0.984560,-0.000000
almaden,0,bellman,4,2,494,0.998880,0.998880,-0.000000
almaden,0,bellman,5,3,496,0.999310,0.998880,0.000430
almaden,0,bellman,6,4,498,0.999830,0.999520,0.000310
almaden,0,bellman,7,5,500,0.999960,0.999520,0.000440
almaden,0,bellman,8,6,501,0.999990,0.999550,0.000440
almaden,1,bellman,2,0,490,0.771980,0.771980,-0.000000
almaden,1,bellman,3,1,492,0.771980,0.771980,-0.000000
almaden,1,bellman,4,2,494,0.867330,0.867330,-0.000000
almaden,1,bellman,5,3,496,0.868210,0.867330,0.000880
almaden,1,bellman,6,7,498,0.917470,0.917470,-0.000000
almaden,1,bellman,7,5,500,0.918720,0.917470,0.001250
almaden,1,bellman,8,9,501,0.946770,0.946770,-0.000000
athens,0,bellman,2,0,490,0.989710,0.989710,-0.000000
athens,0,bellman,3,1,492,0.989710,0.989710,-0.000000
athens,0,bellman,4,2,494,0.999510,0.999510,0.000000
athens,0,bellman,5,3,496,0.999690,0.999510,0.000180
athens,0,bellman,6,4,498,0.999930,0.999800,0.000130
athens,0,bellman,7,5,500,0.999990,0.999800,0.000190
athens,0,bellman,8,6,501,1.000000,0.999810,0.000190
athens,1,bellman,2,0,490,0.975550,0.975550,-0.000000
athens,1,bellman,3,1,492,0.975550,0.975550,-0.000000
athens,1,bellman,4,2,494,0.998100,0.998100,-0.000000
athens,1,bellman,5,3,496,0.998240,0.998100,0.000140
athens,1,bellman,6,7,498,0.999710,0.999710,0.000000
athens,1,bellman,7,5,500,0.999860,0.999710,0.000150
athens,1,bellman,8,8,501,0.999960,0.999830,0.000130
auckland,0,bellman,2,0,490,0.994370,0.994370,-0.000000
auckland,0,bellman,3,1,492,0.994370,0.994370,-0.000000
auckland,0,bellman,4,2,494,0.999780,0.999780,-0.000000
auckland,0,bellman,5,3,496,0.999910,0.999780,0.000130
auckland,0,bellman,6,4,498,0.999980,0.999870,0.000110
auckland,0,bellman,7,5,500,1.000000,0.999870,0.000130
auckland,0,bellman,8,6,501,1.000000,0.999870,0.000130
auckland,1,bellman,2,0,490,0.980590,0.980590,-0.000000
auckland,1,bellman,3,1,492,0.980590,0.980590,-0.000000
auckland,1,bellman,4,2,494,0.998690,0.998690,-0.000000
auckland,1,bellman,5,3,496,0.998890,0.998690,0.000200
auckland,1,bellman,6,4,498,0.999740,0.999720,0.000020
auckland,1,bellman,7,5,500,0.999930,0.999720,0.000210
auckland,1,bellman,8,6,501,0.999970,0.999780,0.000190
belem,0,bellman,2,0,490,0.958490,0.958490,-0.000000
belem,0,bellman,3,1,492,0.958490,0.958490,-0.000000
belem,0,bellman,4,2,494,0.994890,0.994890,0.000000
belem,0,bellman,5,3,496,0.994980,0.994890,0.000090
belem,0,bellman,6,7,498,0.999220,0.999220,0.000000
belem,0,bellman,7,5,500,0.999330,0.999220,0.000110
belem,0,bellman,8,8,501,0.999850,0.999790,0.000060
belem,1,bellman,2,0,490,0.979240,0.979240,-0.000000
