algorithm_index,min_success0,avg_success0,max_success0,min_success1,avg_success1,max_success1,min_meas_succ,avg_meas_succ,max_meas_succ,min_diff_meas,avg_diff_meas,max_diff_meas,min_abs_diff_meas,avg_abs_diff_meas,max_abs_diff_meas,min_succ_1Q,avg_succ_1Q,max_succ_1Q,min_succ_2Q,avg_succ_2Q,max_succ_2Q,num_hardwares
29,0.5362,0.9603507857142856,0.998535,0.5362,0.9603507857142856,0.998535,0.5362,0.9603507857142856,0.998535,0.0,0.0,0.0,0.0,0.0,0.0,0.999126,0.9996336904761901,0.999802,100,0.0,0.0,42
30,0.9945,0.99485,0.9952,0.9945,0.99485,0.9952,0.9945,0.99485,0.9952,0.0,0.0,0.0,0.0,0.0,0.0,0.99962,0.9996425,0.999665,100,0.0,0.0,2
31,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.0,0.0,0.0,0.0,0.0,0.0,0.999665,0.999665,0.999665,100,0.0,0.0,1
32,0.9945,0.99485,0.9952,0.9945,0.99485,0.9952,0.9945,0.99485,0.9952,0.0,0.0,0.0,0.0,0.0,0.0,0.99962,0.9996425,0.999665,100,0.0,0.0,2
33,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.0,0.0,0.0,0.0,0.0,0.0,0.999665,0.999665,0.999665,100,0.0,0.0,1
34,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.0,0.0,0.0,0.0,0.0,0.0,0.999665,0.999665,0.999665,100,0.0,0.0,1
35,0.912,0.962419,0.9856,0.912,0.962419,0.9856,0.912,0.962419,0.9856,0.0,0.0,0.0,0.0,0.0,0.0,0.998467,0.9986309999999999,0.998724,100,0.0,0.0,7
36,0.9446,0.9706333333333332,0.984,0.9446,0.9706333333333332,0.984,0.9446,0.9706333333333332,0.984,0.0,0.0,0.0,0.0,0.0,0.0,0.998596,0.9992416666666667,0.999571,100,0.0,0.0,3
37,0.9446,0.96395,0.9833,0.9446,0.96395,0.9833,0.9446,0.96395,0.9833,0.0,0.0,0.0,0.0,0.0,0.0,0.998596,0.999077,0.999558,100,0.0,0.0,2
38,0.9446,0.9706333333333332,0.984,0.9446,0.9706333333333332,0.984,0.9446,0.9706333333333332,0.984,0.0,0.0,0.0,0.0,0.0,0.0,0.998596,0.9992416666666667,0.999571,100,0.0,0.0,3
39,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.0,0.0,0.0,0.0,0.0,0.0,0.998596,0.998596,0.998596,100,0.0,0.0,1
40,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.9446,0.0,0.0,0.0,0.0,0.0,0.0,0.998596,0.998596,0.998596,100,0.0,0.0,1
41,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.0,0.0,0.0,0.0,0.0,0.0,0.998655,0.998655,0.998655,100,0.0,0.0,1
42,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.0,0.0,0.0,0.0,0.0,0.0,0.998655,0.998655,0.998655,100,0.0,0.0,1
43,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.0,0.0,0.0,0.0,0.0,0.0,0.998655,0.998655,0.998655,100,0.0,0.0,1
44,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.0,0.0,0.0,0.0,0.0,0.0,0.998655,0.998655,0.998655,100,0.0,0.0,1
45,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.0,0.0,0.0,0.0,0.0,0.0,0.998655,0.998655,0.998655,100,0.0,0.0,1
46,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.0,0.0,0.0,0.0,0.0,0.0,0.99258,0.99258,0.99258,100,0.0,0.0,1
47,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.0,0.0,0.0,0.0,0.0,0.0,0.99258,0.99258,0.99258,100,0.0,0.0,1
48,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.0,0.0,0.0,0.0,0.0,0.0,0.99258,0.99258,0.99258,100,0.0,0.0,1
