hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index
algiers,0,2,0.001030,0.995090,bellman,0.000000,0
algiers,0,3,0.001030,0.995090,bellman,0.000000,1
algiers,0,4,0.001030,0.999820,bellman,0.000000,2
algiers,0,5,0.001030,0.999930,bellman,1.000000,3
algiers,0,6,0.001030,0.999990,bellman,3.000000,4
algiers,0,7,0.001030,1.000000,bellman,9.000000,5
algiers,0,8,0.001030,1.000000,bellman,27.000000,6
algiers,0,9,0.001030,1.000000,bellman,82.000000,7
algiers,1,2,0.001710,0.944180,bellman,0.000000,0
algiers,1,3,0.001710,0.944180,bellman,0.000000,1
algiers,1,4,0.001710,0.990670,bellman,0.000000,2
algiers,1,5,0.001710,0.991050,bellman,1.000000,3
algiers,1,6,0.001710,0.997970,bellman,3.000000,8
algiers,1,7,0.001710,0.998400,bellman,9.000000,5
algiers,1,8,0.001710,0.999510,bellman,27.000000,9
algiers,1,9,0.001710,0.999690,bellman,82.000000,7
almaden,0,2,0.001110,0.984560,bellman,0.000000,0
almaden,0,3,0.001110,0.984560,bellman,0.000000,1
almaden,0,4,0.001110,0.998880,bellman,0.000000,2
almaden,0,5,0.001110,0.999310,bellman,1.000000,3
almaden,0,6,0.001110,0.999830,bellman,3.000000,4
almaden,0,7,0.001110,0.999960,bellman,9.000000,5
almaden,0,8,0.001110,0.999990,bellman,27.000000,6
almaden,0,9,0.001110,1.000000,bellman,82.000000,7
almaden,1,2,0.001140,0.771980,bellman,0.000000,0
almaden,1,3,0.001140,0.771980,bellman,0.000000,1
almaden,1,4,0.001140,0.867330,bellman,0.000000,2
almaden,1,5,0.001140,0.868210,bellman,1.000000,3
almaden,1,6,0.001140,0.917470,bellman,3.000000,8
almaden,1,7,0.001140,0.918720,bellman,9.000000,5
almaden,1,8,0.001140,0.946770,bellman,27.000000,10
almaden,1,9,0.001140,0.948220,bellman,82.000000,11
athens,0,2,0.000950,0.989710,bellman,0.000000,0
athens,0,3,0.000950,0.989710,bellman,0.000000,1
athens,0,4,0.000950,0.999510,bellman,0.000000,2
athens,0,5,0.000950,0.999690,bellman,1.000000,3
athens,0,6,0.000950,0.999930,bellman,3.000000,4
athens,0,7,0.000950,0.999990,bellman,9.000000,5
athens,0,8,0.000950,1.000000,bellman,27.000000,6
athens,0,9,0.000950,1.000000,bellman,82.000000,7
athens,1,2,0.001010,0.975550,bellman,0.000000,0
athens,1,3,0.001010,0.975550,bellman,0.000000,1
athens,1,4,0.001010,0.998100,bellman,0.000000,2
athens,1,5,0.001010,0.998240,bellman,1.000000,3
athens,1,6,0.001010,0.999710,bellman,3.000000,8
athens,1,7,0.001010,0.999860,bellman,9.000000,5
athens,1,8,0.001010,0.999960,bellman,27.000000,9
athens,1,9,0.001010,0.999990,bellman,83.000000,7
auckland,0,2,0.001280,0.994370,bellman,0.000000,0
auckland,0,3,0.001280,0.994370,bellman,0.000000,1
auckland,0,4,0.001280,0.999780,bellman,0.000000,2
auckland,0,5,0.001280,0.999910,bellman,1.000000,3
auckland,0,6,0.001280,0.999980,bellman,3.000000,4
auckland,0,7,0.001280,1.000000,bellman,9.000000,5
auckland,0,8,0.001280,1.000000,bellman,27.000000,6
auckland,0,9,0.001280,1.000000,bellman,83.000000,7
auckland,1,2,0.001650,0.980590,bellman,0.000000,0
auckland,1,3,0.001650,0.980590,bellman,0.000000,1
auckland,1,4,0.001650,0.998690,bellman,0.000000,2
auckland,1,5,0.001650,0.998890,bellman,1.000000,3
auckland,1,6,0.001650,0.999740,bellman,3.000000,4
auckland,1,7,0.001650,0.999930,bellman,9.000000,5
auckland,1,8,0.001650,0.999970,bellman,28.000000,6
auckland,1,9,0.001650,0.999990,bellman,84.000000,7
belem,0,2,0.001000,0.958490,bellman,0.000000,0
belem,0,3,0.001000,0.958490,bellman,0.000000,1
belem,0,4,0.001000,0.994890,bellman,0.000000,2
belem,0,5,0.001000,0.994980,bellman,1.000000,3
belem,0,6,0.001000,0.999220,bellman,3.000000,8
belem,0,7,0.001000,0.999330,bellman,9.000000,5
belem,0,8,0.001000,0.999850,bellman,28.000000,9
belem,0,9,0.001000,0.999900,bellman,84.000000,7
belem,1,2,0.001090,0.979240,bellman,0.000000,0
belem,1,3,0.001090,0.979240,bellman,0.000000,1
belem,1,4,0.001090,0.998580,bellman,0.000000,2
belem,1,5,0.001090,0.998730,bellman,1.000000,3
belem,1,6,0.001090,0.999750,bellman,3.000000,8
belem,1,7,0.001090,0.999910,bellman,9.000000,5
belem,1,8,0.001090,0.999970,bellman,27.000000,12
belem,1,9,0.001090,0.999990,bellman,84.000000,7
boeblingen,0,2,0.001410,0.986560,bellman,0.000000,0
