------ Experiment.bell_state_reach ------
%%%%%%%%%%%% bellman %%%%%%%%%%%%
count hardware (bellman):  45
count embeddings (bellman):  136
total diff. algorithms (bellman):  27
accuracy perfect hardware (bellman): 0.6, 0.6, 1.0, 1.0, 1.0, 1.0

num. algorithms per horizon (method=bellman)
1 :  1
2 :  1
3 :  4
4 :  6
5 :  7
6 :  8
--


number of improvements per horizon:
--> horizon 1: 7 
--> horizon 2: 7 
--> horizon 3: 7 
--> horizon 4: 135 
--> horizon 5: 17 
--> horizon 6: 135 


Improvements with respect to perfect algorithms per horizon
Horizon = 4
hardware=lagos-0, diff=0.11292, prob=0.5967, baseline_prob=0.48378, algorithm=48, method=bellman, horizon=4,
hardware=lagos-2, diff=0.11135, prob=0.58841, baseline_prob=0.47706, algorithm=48, method=bellman, horizon=4,
hardware=manhattan-0, diff=0.09581, prob=0.64124, baseline_prob=0.54543, algorithm=6, method=bellman, horizon=4,
hardware=rochester-1, diff=0.09497, prob=0.63737, baseline_prob=0.5424, algorithm=6, method=bellman, horizon=4,
hardware=cambridge-1, diff=0.09427, prob=0.65147, baseline_prob=0.5572, algorithm=6, method=bellman, horizon=4,
hardware=washington-0, diff=0.08713, prob=0.7184, baseline_prob=0.63127, algorithm=6, method=bellman, horizon=4,
hardware=toronto-0, diff=0.07935, prob=0.76241, baseline_prob=0.68306, algorithm=6, method=bellman, horizon=4,
hardware=toronto-2, diff=0.07286, prob=0.70004, baseline_prob=0.62718, algorithm=6, method=bellman, horizon=4,
hardware=almaden-1, diff=0.0696, prob=0.80243, baseline_prob=0.73283, algorithm=6, method=bellman, horizon=4,
hardware=almaden-3, diff=0.06662, prob=0.76808, baseline_prob=0.70146, algorithm=6, method=bellman, horizon=4,
hardware=paris-0, diff=0.06627, prob=0.81804, baseline_prob=0.75177, algorithm=6, method=bellman, horizon=4,
hardware=paris-2, diff=0.06372, prob=0.78645, baseline_prob=0.72273, algorithm=6, method=bellman, horizon=4,
hardware=boeblingen-1, diff=0.06198, prob=0.83501, baseline_prob=0.77303, algorithm=6, method=bellman, horizon=4,
hardware=boeblingen-3, diff=0.06108, prob=0.82293, baseline_prob=0.76185, algorithm=6, method=bellman, horizon=4,
hardware=melbourne-1, diff=0.06012, prob=0.83547, baseline_prob=0.77535, algorithm=6, method=bellman, horizon=4,
hardware=melbourne-3, diff=0.05846, prob=0.81248, baseline_prob=0.75402, algorithm=6, method=bellman, horizon=4,
hardware=manhattan-2, diff=0.0568, prob=0.31261, baseline_prob=0.25581, algorithm=26, method=bellman, horizon=4,
hardware=rochester-3, diff=0.05679, prob=0.31318, baseline_prob=0.25639, algorithm=26, method=bellman, horizon=4,
hardware=poughkeepsie-0, diff=0.05676, prob=0.84865, baseline_prob=0.79189, algorithm=6, method=bellman, horizon=4,
hardware=johannesburg-1, diff=0.05664, prob=0.8482, baseline_prob=0.79156, algorithm=6, method=bellman, horizon=4,
hardware=cambridge-3, diff=0.05656, prob=0.31902, baseline_prob=0.26246, algorithm=26, method=bellman, horizon=4,
hardware=johannesburg-3, diff=0.0549, prob=0.8223, baseline_prob=0.7674, algorithm=6, method=bellman, horizon=4,
hardware=london-1, diff=0.05434, prob=0.85046, baseline_prob=0.79612, algorithm=6, method=bellman, horizon=4,
hardware=washington-2, diff=0.05429, prob=0.34991, baseline_prob=0.29562, algorithm=26, method=bellman, horizon=4,
hardware=cairo-1, diff=0.05063, prob=0.87367, baseline_prob=0.82304, algorithm=6, method=bellman, horizon=4,
hardware=geneva-0, diff=0.04844, prob=0.88074, baseline_prob=0.8323, algorithm=6, method=bellman, horizon=4,
hardware=sydney-1, diff=0.0416, prob=0.89912, baseline_prob=0.85752, algorithm=6, method=bellman, horizon=4,
