------ Experiment.bell_state_reach ------
%%%%%%%%%%%% convex %%%%%%%%%%%%
count hardware (convex):  45
count embeddings (convex):  136
total diff. algorithms (convex):  48
accuracy perfect hardware (convex): -0.0, 0.5, 1.0, 1.0, 1.0, 1.0

num. algorithms per horizon (method=convex)
1 :  1
2 :  1
3 :  1
4 :  15
5 :  15
6 :  15
--


number of improvements per horizon:
--> horizon 1: 0 
--> horizon 2: 0 
--> horizon 3: 0 
--> horizon 4: 135 
--> horizon 5: 13 
--> horizon 6: 135 


Improvements with respect to perfect algorithms per horizon
Horizon = 4
hardware=lagos-0, diff=0.24732, prob=0.53325, baseline_prob=0.28593, algorithm=49, method=convex, horizon=4,
hardware=lagos-2, diff=0.24388, prob=0.52584, baseline_prob=0.28196, algorithm=49, method=convex, horizon=4,
hardware=manhattan-0, diff=0.23953, prob=0.59334, baseline_prob=0.35381, algorithm=7, method=convex, horizon=4,
hardware=rochester-1, diff=0.23743, prob=0.58988, baseline_prob=0.35245, algorithm=7, method=convex, horizon=4,
hardware=cambridge-1, diff=0.23569, prob=0.60433, baseline_prob=0.36864, algorithm=7, method=convex, horizon=4,
hardware=washington-0, diff=0.21783, prob=0.67483, baseline_prob=0.457, algorithm=7, method=convex, horizon=4,
hardware=toronto-0, diff=0.19839, prob=0.72274, baseline_prob=0.52435, algorithm=7, method=convex, horizon=4,
hardware=toronto-2, diff=0.18216, prob=0.66361, baseline_prob=0.48145, algorithm=7, method=convex, horizon=4,
hardware=almaden-1, diff=0.174, prob=0.76763, baseline_prob=0.59363, algorithm=7, method=convex, horizon=4,
hardware=almaden-3, diff=0.16655, prob=0.73477, baseline_prob=0.56822, algorithm=7, method=convex, horizon=4,
hardware=paris-0, diff=0.1657, prob=0.78491, baseline_prob=0.61921, algorithm=7, method=convex, horizon=4,
hardware=paris-2, diff=0.15929, prob=0.75459, baseline_prob=0.5953, algorithm=7, method=convex, horizon=4,
hardware=boeblingen-1, diff=0.15494, prob=0.80402, baseline_prob=0.64908, algorithm=7, method=convex, horizon=4,
hardware=boeblingen-3, diff=0.1527, prob=0.79239, baseline_prob=0.63969, algorithm=7, method=convex, horizon=4,
hardware=melbourne-1, diff=0.15029, prob=0.80541, baseline_prob=0.65512, algorithm=7, method=convex, horizon=4,
hardware=melbourne-3, diff=0.14616, prob=0.78325, baseline_prob=0.63709, algorithm=7, method=convex, horizon=4,
hardware=poughkeepsie-0, diff=0.14191, prob=0.82027, baseline_prob=0.67836, algorithm=7, method=convex, horizon=4,
hardware=johannesburg-1, diff=0.14159, prob=0.81988, baseline_prob=0.67829, algorithm=7, method=convex, horizon=4,
hardware=johannesburg-3, diff=0.13727, prob=0.79485, baseline_prob=0.65758, algorithm=7, method=convex, horizon=4,
hardware=london-1, diff=0.13584, prob=0.82329, baseline_prob=0.68745, algorithm=7, method=convex, horizon=4,
hardware=manhattan-2, diff=0.13146, prob=0.29739, baseline_prob=0.16593, algorithm=52, method=convex, horizon=4,
hardware=rochester-3, diff=0.13139, prob=0.29799, baseline_prob=0.1666, algorithm=52, method=convex, horizon=4,
hardware=cambridge-3, diff=0.13057, prob=0.30422, baseline_prob=0.17365, algorithm=27, method=convex, horizon=4,
hardware=cairo-1, diff=0.12657, prob=0.84835, baseline_prob=0.72178, algorithm=7, method=convex, horizon=4,
