hardware,embedding_index,horizon,pomdp_build_time,probability,solver_time,algorithm_index
algiers,0,1,0.150111,0.006905,0.000000,0
algiers,0,2,0.150111,0.986190,0.000000,1
algiers,0,3,0.150111,0.991817,0.000000,2
algiers,0,4,0.150111,0.999607,1380.000000,3
algiers,1,1,0.146188,0.014529,0.000000,4
algiers,1,2,0.146188,0.970942,0.000000,5
algiers,1,3,0.146188,0.970942,0.000000,6
algiers,1,4,0.146188,-1.000000,3600.000000,7
almaden,0,1,0.253910,0.021208,0.000000,8
almaden,0,2,0.253910,0.957583,0.000000,9
almaden,0,3,0.253910,0.974563,0.000000,10
almaden,0,4,0.253910,-1.000000,3600.000000,7
almaden,1,1,0.136531,0.055267,0.000000,11
almaden,1,2,0.136531,0.889467,0.000000,12
almaden,1,3,0.136531,0.889467,0.000000,13
almaden,1,4,0.136531,-1.000000,3600.000000,7
athens,0,1,0.148250,0.017716,0.000000,14
athens,0,2,0.148250,0.964569,0.000000,15
athens,0,3,0.148250,0.983118,0.000000,16
