hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index,error
cairo,0,1,0.018720,0.665530,convex,0.000000,0,0.000000
cairo,0,2,0.018720,0.666660,convex,0.000000,1,0.000000
cairo,0,3,0.018720,0.748630,convex,0.000000,2,0.000000
cairo,0,4,0.018720,0.748650,convex,1.000000,3,0.000000
cairo,0,5,0.018720,0.749910,convex,11.000000,4,0.000000
cairo,0,6,0.018720,0.749910,convex,3837.000000,5,0.000000
cairo,1,1,0.029120,0.629850,convex,0.000000,6,0.000000
cairo,1,2,0.029120,0.659900,convex,0.000000,7,0.000000
cairo,1,3,0.029120,0.693610,convex,0.000000,8,0.000000
cairo,1,4,0.029120,0.702820,convex,1.000000,9,0.000000
cairo,1,5,0.029120,0.726410,convex,9.000000,10,0.000000
cairo,1,6,0.029120,0.727870,convex,60.000000,11,0.000000
casablanca,0,1,0.017620,0.663440,convex,0.000000,12,0.000000
casablanca,0,2,0.017620,0.666620,convex,0.000000,13,0.000000
casablanca,0,3,0.017620,0.745970,convex,0.000000,14,0.000000
casablanca,0,4,0.017620,0.746080,convex,1.000000,15,0.000000
casablanca,0,5,0.017620,0.749610,convex,10.000000,16,0.000000
casablanca,0,6,0.017620,0.749610,convex,1733.000000,17,0.000000
casablanca,1,1,0.021140,0.659260,convex,0.000000,18,0.000000
casablanca,1,2,0.021140,0.666410,convex,0.000000,19,0.000000
casablanca,1,3,0.021140,0.740730,convex,0.000000,20,0.000000
casablanca,1,4,0.021140,0.741250,convex,1.000000,21,0.000000
casablanca,1,5,0.021140,0.749020,convex,10.000000,22,0.000000
casablanca,1,6,0.021140,0.749030,convex,1420.000000,23,0.000000
johannesburg,0,1,0.013320,0.662730,convex,0.000000,24,0.000000
johannesburg,0,2,0.013320,0.666600,convex,0.000000,25,0.000000
johannesburg,0,3,0.013320,0.745090,convex,0.000000,26,0.000000
johannesburg,0,4,0.013320,0.745250,convex,1.000000,27,0.000000
johannesburg,0,5,0.013320,0.749520,convex,10.000000,28,0.000000
johannesburg,0,6,0.013320,0.749520,convex,1419.000000,29,0.000000
johannesburg,1,1,0.016390,0.623300,convex,0.000000,30,0.000000
johannesburg,1,2,0.016390,0.657120,convex,0.000000,31,0.000000
johannesburg,1,3,0.016390,0.683930,convex,0.000000,32,0.000000
johannesburg,1,4,0.016390,0.695000,convex,1.000000,33,0.000000
johannesburg,1,5,0.016390,0.719780,convex,9.000000,34,0.000000
johannesburg,1,6,0.016390,0.721770,convex,56.000000,35,0.000000
kawasaki,0,1,0.038230,0.665910,convex,0.000000,36,0.000000
kawasaki,0,2,0.038230,0.666660,convex,0.000000,37,0.000000
kawasaki,0,3,0.038230,0.749050,convex,0.000000,38,0.000000
kawasaki,0,4,0.038230,0.749060,convex,1.000000,39,0.000000
kawasaki,0,5,0.038230,0.749910,convex,11.000000,4,0.000000
kawasaki,0,6,0.038230,0.749910,convex,2824.000000,5,0.000000
kawasaki,1,1,0.079150,0.573600,convex,0.000000,40,0.000000
kawasaki,1,2,0.079150,0.586300,convex,0.000000,41,0.000000
kawasaki,1,3,0.079150,0.606010,convex,0.000000,42,0.000000
kawasaki,1,4,0.079150,0.624310,convex,1.000000,43,0.000000
kawasaki,1,5,0.079150,0.635680,convex,9.000000,44,0.000000
kawasaki,1,6,0.079150,0.645990,convex,51.000000,45,0.000000
rome,0,1,0.017030,0.659820,convex,0.000000,46,0.000000
rome,0,2,0.017030,0.666450,convex,0.000000,47,0.000000
rome,0,3,0.017030,0.741530,convex,0.000000,48,0.000000
rome,0,4,0.017030,0.741970,convex,1.000000,49,0.000000
rome,0,5,0.017030,0.749210,convex,10.000000,50,0.000000
rome,0,6,0.017030,0.749210,convex,1817.000000,51,0.000000
rome,1,1,0.018360,0.661840,convex,0.000000,52,0.000000
rome,1,2,0.018360,0.666560,convex,0.000000,53,0.000000
rome,1,3,0.018360,0.744130,convex,0.000000,54,0.000000
rome,1,4,0.018360,0.744360,convex,1.000000,55,0.000000
rome,1,5,0.018360,0.749560,convex,10.000000,16,0.000000
rome,1,6,0.018360,0.749560,convex,857.000000,56,0.000000
