benchmark,horizon,total_time,useful_gaps,times
cit.POMDP_1,2,timeout,0.00271/0.01,1036.496869/298.317198
cit.POMDP_1,3,timeout,0.054964/0.7943,2651.807021/447.394049
cit.POMDP_1,4,timeout,0.010657/0.966725,3560.988061/583.901878
cit.POMDP_2,3,timeout,0.00572/0.009,3386.211035/446.538798
cit.POMDP_3,4,timeout,0.0001/0.71289,3548.543892/594.832288
mit.POMDP_1,2,timeout,0.00271/0.01,518.342156/150.553949
mit.POMDP_1,3,timeout,0.054379/0.054964/0.7943,2503.895705/1369.080751/230.148927
mit.POMDP_1,4,timeout,0.010592/0.010657/0.966725,3373.050409/1862.766506/311.284316
mit.POMDP_1,5,timeout,0.008201/0.995168,2329.608765/383.502956
mit.POMDP_1,6,timeout,0.008869/0.99934,2814.605176/460.80324
pentagon.POMDP_1,2,timeout,0.00271/0.01/0.89,1858.005867/999.201917/164.502555
pentagon.POMDP_1,3,timeout,0.054379/0.054964/0.9879,2777.488685/1513.262795/250.414842
pentagon.POMDP_1,4,timeout,0.069944/0.998669,2026.016335/327.671769
pentagon.POMDP_1,5,timeout,0.080113/0.999854,2548.471477/413.853363
pentagon.POMDP_1,6,timeout,0.082247/0.999984,3070.93714/498.117854
pentagon.POMDP_2,3,timeout,0.0177/0.801,1492.731108/251.091594
pentagon.POMDP_2,4,timeout,0.71081/0.96921,2023.965727/335.280305
pentagon.POMDP_2,5,timeout,0.938894/0.995723,2549.003754/418.483646
pentagon.POMDP_2,6,timeout,0.987306/0.999441,3085.625036/506.778236
pentagon.POMDP_3,4,timeout,0.010124/0.01593,2833.602887/332.856869
sunysb.POMDP_1,2,timeout,0.00271/0.01,1156.637073/331.517546
sunysb.POMDP_1,3,timeout,0.054964/0.7943,2993.939058/500.289369
sunysb.POMDP_2,3,timeout,0.000135/0.009,2124.813691/493.375661
iff_1_2_0_2,2,error,0.451222/10.335019,76.474819/11.986798
iff_1_2_0_2,3,timeout,0.064845/0.065956/0.434824/10.366268,304.878326/208.809091/113.755056/18.006563
iff_1_2_0_2,4,timeout,0.057703/0.062779/0.425804/10.406565,372.86874/245.994885/119.642974/23.824224
iff_1_2_0_2,5,timeout,0.425539/10.409824,126.517056/29.661885
iff_1_2_0_2,6,timeout,0.05706/0.06602/0.428498/10.410062,418.433589/323.31635/228.396439/35.603996
iff_1_2_0_4,2,timeout,2.686185/10.335019,75.570873/11.990939
iff_1_2_0_4,3,timeout,2.625939/10.335019/10.407664,177.047695/113.646608/17.965753
iff_1_2_0_4,4,timeout,2.639832/10.335019/10.410011,151.483333/88.296378/23.893436
iff_1_2_0_4,5,timeout,2.639779/10.335019/10.410096,157.624318/94.745284/29.889675
iff_1_2_0_4,6,timeout,2.639779/10.335019/10.41008,164.085923/101.312377/35.72717
iff_1_2_2_0,2,error,0.451222/10.335019,76.950439/12.051624
iff_1_2_2_0,3,timeout,0.05911/0.060956/0.434824/10.366268,306.731205/210.168062/114.148018/17.919671
