benchmark,horizon,time,final_hull_size,size_to_convexify,n_initial_states,val
cit.POMDP,1,0.001918,1,50,2,0.000000
cit.POMDP,1,0.000711,1,50,3,0.000000
cit.POMDP,1,0.000918,1,50,4,0.000000
cit.POMDP,2,0.068727,1,50,2,0.000000
cit.POMDP,2,0.095020,1,50,3,0.000000
cit.POMDP,2,0.119785,1,50,4,0.000000
cit.POMDP,3,9.644270,1,50,2,0.000000
cit.POMDP,3,13.158619,1,50,3,0.000000
cit.POMDP,3,16.776116,1,50,4,0.000000
cit.POMDP,4,1334.675141,1,50,2,0.000000
cit.POMDP,4,1805.532428,1,50,3,0.000000
cit.POMDP,4,2320.567078,1,50,4,0.000000
cit.POMDP,5,3600.001937,1,50,2,-1.000000
cit.POMDP,5,3600.002561,1,50,3,-1.000000
cit.POMDP,5,3600.004742,1,50,4,-1.000000
fourth.POMDP,1,0.000671,1,50,2,0.000000
fourth.POMDP,1,0.000722,1,50,3,0.000000
fourth.POMDP,1,0.000879,1,50,4,0.000000
fourth.POMDP,2,0.062993,1,50,2,0.000000
fourth.POMDP,2,0.092876,1,50,3,0.000000
fourth.POMDP,2,0.118897,1,50,4,0.000000
fourth.POMDP,3,8.013953,1,50,2,0.000000
fourth.POMDP,3,12.021724,1,50,3,0.000000
fourth.POMDP,3,15.323118,1,50,4,0.000000
fourth.POMDP,4,1000.146231,1,50,2,0.000000
fourth.POMDP,4,1534.188690,1,50,3,0.000000
fourth.POMDP,4,1968.481165,1,50,4,0.000000
fourth.POMDP,5,3600.001097,1,50,2,-1.000000
fourth.POMDP,5,3600.001717,1,50,3,-1.000000
fourth.POMDP,5,3600.004580,1,50,4,-1.000000
hallway.POMDP,1,0.021061,1,50,2,1.000000
hallway.POMDP,1,0.000605,1,50,3,1.000000
hallway.POMDP,1,0.000742,1,50,4,1.000000
hallway.POMDP,2,0.053601,1,50,2,2.000000
hallway.POMDP,2,0.076396,1,50,3,2.000000
hallway.POMDP,2,0.099847,1,50,4,2.000000
hallway.POMDP,3,5.594959,1,50,2,3.000000
hallway.POMDP,3,8.152325,1,50,3,3.000000
hallway.POMDP,3,10.817770,4,50,4,3.000000
