benchmark,horizon,time,hull_size,n_initial_states,val
cit.POMDP,1,0.001776,1,1,0.000000
cit.POMDP,2,0.038606,1,1,0.000000
cit.POMDP,3,4.736983,1,1,0.000000
cit.POMDP,4,591.256491,1,1,0.000000
cit.POMDP,5,3600.000688,1,1,-1.000000
cit.POMDP,1,0.005716,1,2,0.000000
cit.POMDP,2,0.072080,1,2,0.000000
cit.POMDP,3,9.883164,1,2,0.000000
cit.POMDP,4,1322.801093,1,2,0.000000
cit.POMDP,5,3600.002700,1,2,-1.000000
cit.POMDP,1,0.000797,1,3,0.000000
cit.POMDP,2,0.095303,1,3,0.000000
cit.POMDP,3,13.306458,1,3,0.000000
cit.POMDP,4,1813.685248,1,3,0.000000
cit.POMDP,5,3600.002039,1,3,-1.000000
cit.POMDP,1,0.000995,1,4,0.000000
cit.POMDP,2,0.123745,1,4,0.000000
cit.POMDP,3,17.329380,1,4,0.000000
cit.POMDP,4,2305.521175,1,4,0.000000
cit.POMDP,5,3600.004072,1,4,-1.000000
fourth.POMDP,1,0.000485,1,1,0.000000
fourth.POMDP,2,0.038070,1,1,0.000000
fourth.POMDP,3,4.719727,1,1,0.000000
fourth.POMDP,4,568.327035,1,1,0.000000
fourth.POMDP,5,3600.000635,1,1,-1.000000
fourth.POMDP,1,0.000633,1,2,0.000000
fourth.POMDP,2,0.063837,1,2,0.000000
fourth.POMDP,3,8.134666,1,2,0.000000
fourth.POMDP,4,1008.523696,1,2,0.000000
fourth.POMDP,5,3600.001966,1,2,-1.000000
fourth.POMDP,1,0.000832,1,3,0.000000
fourth.POMDP,2,0.094949,1,3,0.000000
fourth.POMDP,3,12.263172,1,3,0.000000
fourth.POMDP,4,1552.974978,1,3,0.000000
fourth.POMDP,5,3600.001551,1,3,-1.000000
fourth.POMDP,1,0.000979,1,4,0.000000
fourth.POMDP,2,0.116958,1,4,0.000000
fourth.POMDP,3,15.248810,1,4,0.000000
fourth.POMDP,4,1971.908120,1,4,0.000000
fourth.POMDP,5,3600.003096,1,4,-1.000000
hallway.POMDP,1,0.000412,1,1,1.000000
hallway.POMDP,2,0.029371,1,1,2.000000
hallway.POMDP,3,3.003464,1,1,3.000000
hallway.POMDP,4,282.774309,1,1,4.000000
hallway.POMDP,5,3600.000931,1,1,-1.000000
hallway.POMDP,1,0.000527,1,2,1.000000
hallway.POMDP,2,0.052257,1,2,2.000000
hallway.POMDP,3,5.444232,1,2,3.000000
