benchmark,horizon,time,n_initial_states,val
iff.POMDP_59_61_1,1,0.002728,2,16.2
iff.POMDP_59_61_1,2,0.052708,2,19.8556
iff.POMDP_59_61_1,3,1.385843,2,19.994513
iff.POMDP_59_61_1,4,33.608839,2,19.999791
iff.POMDP_59_61_1,5,745.45165,2,19.999992
iff.POMDP_59_61_1,6,timeout,2,-1.0
iff.POMDP_59_63_4,1,0.002569,2,16.2
iff.POMDP_59_63_4,2,0.039934,2,19.8556
iff.POMDP_59_63_4,3,0.993021,2,19.994513
iff.POMDP_59_63_4,4,24.6595,2,19.999791
iff.POMDP_59_63_4,5,572.653188,2,19.999992
iff.POMDP_59_63_4,6,timeout,2,-1.0
iff.POMDP_59_64_1,1,0.002675,2,12.8
iff.POMDP_59_64_1,2,0.069617,2,18.3872
iff.POMDP_59_64_1,3,2.187903,2,19.842291
iff.POMDP_59_64_1,4,66.303363,2,19.987065
iff.POMDP_59_64_1,5,1645.365544,2,19.999009
iff.POMDP_59_64_1,6,timeout,2,-1.0
iff.POMDP_59_66_2,1,0.002855,2,12.8
iff.POMDP_59_66_2,2,0.071698,2,18.3872
iff.POMDP_59_66_2,3,2.134599,2,19.842291
iff.POMDP_59_66_2,4,55.600146,2,19.987065
iff.POMDP_59_66_2,5,1294.260527,2,19.999009
iff.POMDP_59_66_2,6,timeout,2,-1.0
iff.POMDP_59_68_5,1,0.002622,2,12.8
iff.POMDP_59_68_5,2,0.048382,2,18.3872
iff.POMDP_59_68_5,3,1.291248,2,19.842291
iff.POMDP_59_68_5,4,33.627821,2,19.987065
iff.POMDP_59_68_5,5,805.569626,2,19.999009
iff.POMDP_59_68_5,6,timeout,2,-1.0
iff.POMDP_59_69_4,1,0.002743,2,9.8
iff.POMDP_59_69_4,2,0.073678,2,16.022
iff.POMDP_59_69_4,3,2.705881,2,18.936222
iff.POMDP_59_69_4,4,93.818469,2,19.827149
iff.POMDP_59_69_4,5,2538.848762,2,19.977092
iff.POMDP_59_69_4,6,timeout,2,-1.0
iff.POMDP_59_71_5,1,0.002946,2,9.8
iff.POMDP_59_71_5,2,0.080125,2,16.022
iff.POMDP_59_71_5,3,2.724325,2,18.936222
iff.POMDP_59_71_5,4,77.992784,2,19.827149
iff.POMDP_59_71_5,5,1886.564731,2,19.977092
iff.POMDP_59_71_5,6,timeout,2,-1.0
iff.POMDP_59_73_8,1,0.00242,2,9.8
iff.POMDP_59_73_8,2,0.054141,2,16.022
iff.POMDP_59_73_8,3,1.578283,2,18.936222
iff.POMDP_59_73_8,4,43.127046,2,19.827149
iff.POMDP_59_73_8,5,1077.908364,2,19.977092
iff.POMDP_59_73_8,6,timeout,2,-1.0
iff.POMDP_61_63_1,1,0.002539,2,16.2
iff.POMDP_61_63_1,2,0.042584,2,19.8556
iff.POMDP_61_63_1,3,1.001997,2,19.994513
iff.POMDP_61_63_1,4,21.171949,2,19.999791
iff.POMDP_61_63_1,5,431.49624,2,19.999992
iff.POMDP_61_63_1,6,timeout,2,-1.0
iff.POMDP_61_66_1,1,0.002558,2,12.8
iff.POMDP_61_66_1,2,0.075291,2,18.3872
iff.POMDP_61_66_1,3,2.215059,2,19.842291
iff.POMDP_61_66_1,4,52.658426,2,19.987065
iff.POMDP_61_66_1,5,1157.719043,2,19.999009
iff.POMDP_61_66_1,6,timeout,2,-1.0
iff.POMDP_61_68_2,1,0.002539,2,12.8
iff.POMDP_61_68_2,2,0.050635,2,18.3872
iff.POMDP_61_68_2,3,1.312878,2,19.842291
iff.POMDP_61_68_2,4,30.07803,2,19.987065
iff.POMDP_61_68_2,5,665.08683,2,19.999009
iff.POMDP_61_68_2,6,timeout,2,-1.0
iff.POMDP_61_71_4,1,0.002663,2,9.8
iff.POMDP_61_71_4,2,0.080367,2,16.022
iff.POMDP_61_71_4,3,2.713686,2,18.936222
iff.POMDP_61_71_4,4,73.830872,2,19.827149
iff.POMDP_61_71_4,5,1751.047817,2,19.977092
iff.POMDP_61_71_4,6,timeout,2,-1.0
iff.POMDP_61_73_5,1,0.002476,2,9.8
iff.POMDP_61_73_5,2,0.055823,2,16.022
iff.POMDP_61_73_5,3,1.564173,2,18.936222
iff.POMDP_61_73_5,4,39.138061,2,19.827149
iff.POMDP_61_73_5,5,944.415106,2,19.977092
iff.POMDP_61_73_5,6,timeout,2,-1.0
iff.POMDP_63_68_1,1,0.002395,2,12.8
iff.POMDP_63_68_1,2,0.036819,2,18.3872
iff.POMDP_63_68_1,3,0.893786,2,19.842291
iff.POMDP_63_68_1,4,21.05167,2,19.987065
iff.POMDP_63_68_1,5,488.359255,2,19.999009
iff.POMDP_63_68_1,6,timeout,2,-1.0
iff.POMDP_63_73_4,1,0.002497,2,9.8
iff.POMDP_63_73_4,2,0.042529,2,16.022
iff.POMDP_63_73_4,3,1.149272,2,18.936222
iff.POMDP_63_73_4,4,29.9971,2,19.827149
iff.POMDP_63_73_4,5,761.510802,2,19.977092
iff.POMDP_63_73_4,6,timeout,2,-1.0
iff.POMDP_64_66_1,1,0.002817,2,12.8
iff.POMDP_64_66_1,2,0.089233,2,18.3872
iff.POMDP_64_66_1,3,2.969924,2,19.842291
iff.POMDP_64_66_1,4,82.5948,2,19.987065
iff.POMDP_64_66_1,5,1964.400963,2,19.999009
iff.POMDP_64_66_1,6,timeout,2,-1.0
iff.POMDP_64_68_4,1,0.002602,2,12.8
iff.POMDP_64_68_4,2,0.065868,2,18.3872
iff.POMDP_64_68_4,3,2.086873,2,19.842291
iff.POMDP_64_68_4,4,59.737974,2,19.987065
iff.POMDP_64_68_4,5,1490.786174,2,19.999009
iff.POMDP_64_68_4,6,timeout,2,-1.0
iff.POMDP_64_69_1,1,0.002742,2,9.8
iff.POMDP_64_69_1,2,0.093328,2,16.022
iff.POMDP_64_69_1,3,3.6975,2,18.936222
iff.POMDP_64_69_1,4,120.587143,2,19.827149
iff.POMDP_64_69_1,5,3225.006302,2,19.977092
iff.POMDP_64_69_1,6,timeout,2,-1.0
iff.POMDP_64_71_2,1,0.002833,2,9.8
iff.POMDP_64_71_2,2,0.097456,2,16.022
iff.POMDP_64_71_2,3,3.567404,2,18.936222
iff.POMDP_64_71_2,4,103.652512,2,19.827149
iff.POMDP_64_71_2,5,2573.852572,2,19.977092
iff.POMDP_64_71_2,6,timeout,2,-1.0
iff.POMDP_64_73_5,1,0.002717,2,9.8
iff.POMDP_64_73_5,2,0.070986,2,16.022
iff.POMDP_64_73_5,3,2.392229,2,18.936222
iff.POMDP_64_73_5,4,69.361565,2,19.827149
iff.POMDP_64_73_5,5,1760.895892,2,19.977092
iff.POMDP_64_73_5,6,timeout,2,-1.0
iff.POMDP_66_68_1,1,0.002728,2,12.8
iff.POMDP_66_68_1,2,0.067611,2,18.3872
iff.POMDP_66_68_1,3,2.011851,2,19.842291
iff.POMDP_66_68_1,4,48.955586,2,19.987065
