benchmark,horizon,time,hull_size,val
RockSample_POMDP_N3_G1_K2_R18.txt,1,0.011221,1,0.000000
RockSample_POMDP_N3_G1_K2_R18.txt,2,0.002256,2,0.000000
RockSample_POMDP_N3_G1_K2_R18.txt,3,0.021479,1,10.000000
RockSample_POMDP_N3_G1_K2_R18.txt,4,0.188867,1,10.000000
RockSample_POMDP_N3_G1_K2_R18.txt,5,1.718801,2,10.000000
RockSample_POMDP_N3_G1_K2_R18.txt,6,14.088172,2,13.333333
RockSample_POMDP_N3_G1_K2_R18.txt,7,124.294528,1,20.000000
RockSample_POMDP_N3_G1_K3_R13.txt,1,0.000721,1,0.000000
RockSample_POMDP_N3_G1_K3_R13.txt,2,0.004273,1,0.000000
RockSample_POMDP_N3_G1_K3_R13.txt,3,0.047508,1,10.000000
RockSample_POMDP_N3_G1_K3_R13.txt,4,0.524863,2,10.000000
RockSample_POMDP_N3_G1_K3_R13.txt,5,5.632549,2,10.000000
RockSample_POMDP_N3_G1_K3_R13.txt,6,58.512892,4,12.000000
