benchmark,num_states,num_actions,num_obs,num_initial_states
RockSample_POMDP_N3_G1_K2_R18.txt,28,7,3,2
RockSample_POMDP_N3_G1_K3_R13.txt,37,8,3,3
RockSample_POMDP_N3_G1_K4_R83.txt,46,9,3,4
RockSample_POMDP_N3_G2_K3_R4.txt,64,8,3,3
RockSample_POMDP_N4_G1_K2_R33.txt,49,7,3,2
RockSample_POMDP_N5_G1_K2_R96.txt,76,7,3,2
RockSample_POMDP_N6_G1_K2_R77.txt,109,7,3,2
cit.POMDP_1_1,284,4,28,1
cit.POMDP_1_2,284,4,28,2
cit.POMDP_1_3,284,4,28,3
cit.POMDP_1_4,284,4,28,4
cit.POMDP_2_1,284,4,28,1
cit.POMDP_2_2,284,4,28,2
cit.POMDP_2_3,284,4,28,3
cit.POMDP_2_4,284,4,28,4
cit.POMDP_3_1,284,4,28,1
cit.POMDP_3_2,284,4,28,2
cit.POMDP_3_3,284,4,28,3
cit.POMDP_3_4,284,4,28,4
cit.POMDP_4_1,284,4,28,1
cit.POMDP_4_2,284,4,28,2
cit.POMDP_4_3,284,4,28,3
cit.POMDP_4_4,284,4,28,4
cit.POMDP_5_1,284,4,28,1
cit.POMDP_5_2,284,4,28,2
cit.POMDP_5_3,284,4,28,3
cit.POMDP_5_4,284,4,28,4
cit.POMDP_6_1,284,4,28,1
cit.POMDP_6_2,284,4,28,2
cit.POMDP_6_3,284,4,28,3
cit.POMDP_6_4,284,4,28,4
cit.POMDP_7_1,284,4,28,1
cit.POMDP_7_2,284,4,28,2
cit.POMDP_7_3,284,4,28,3
cit.POMDP_7_4,284,4,28,4
fourth.POMDP_1_1,1052,4,28,1
fourth.POMDP_1_2,1052,4,28,2
fourth.POMDP_1_3,1052,4,28,3
fourth.POMDP_1_4,1052,4,28,4
fourth.POMDP_2_1,1052,4,28,1
fourth.POMDP_2_2,1052,4,28,2
fourth.POMDP_2_3,1052,4,28,3
fourth.POMDP_2_4,1052,4,28,4
fourth.POMDP_3_1,1052,4,28,1
fourth.POMDP_3_2,1052,4,28,2
fourth.POMDP_3_3,1052,4,28,3
fourth.POMDP_3_4,1052,4,28,4
fourth.POMDP_4_1,1052,4,28,1
fourth.POMDP_4_2,1052,4,28,2
fourth.POMDP_4_3,1052,4,28,3
fourth.POMDP_4_4,1052,4,28,4
fourth.POMDP_5_1,1052,4,28,1
fourth.POMDP_5_2,1052,4,28,2
fourth.POMDP_5_3,1052,4,28,3
fourth.POMDP_5_4,1052,4,28,4
fourth.POMDP_6_1,1052,4,28,1
fourth.POMDP_6_2,1052,4,28,2
fourth.POMDP_6_3,1052,4,28,3
fourth.POMDP_6_4,1052,4,28,4
fourth.POMDP_7_1,1052,4,28,1
fourth.POMDP_7_2,1052,4,28,2
fourth.POMDP_7_3,1052,4,28,3
fourth.POMDP_7_4,1052,4,28,4
mit.POMDP_1_1,204,4,28,1
mit.POMDP_1_2,204,4,28,2
mit.POMDP_1_3,204,4,28,3
mit.POMDP_1_4,204,4,28,4
mit.POMDP_2_1,204,4,28,1
mit.POMDP_2_2,204,4,28,2
mit.POMDP_2_3,204,4,28,3
mit.POMDP_2_4,204,4,28,4
mit.POMDP_3_1,204,4,28,1
mit.POMDP_3_2,204,4,28,2
mit.POMDP_3_3,204,4,28,3
mit.POMDP_3_4,204,4,28,4
mit.POMDP_4_1,204,4,28,1
mit.POMDP_4_2,204,4,28,2
mit.POMDP_4_3,204,4,28,3
mit.POMDP_4_4,204,4,28,4
mit.POMDP_5_1,204,4,28,1
mit.POMDP_5_2,204,4,28,2
mit.POMDP_5_3,204,4,28,3
mit.POMDP_5_4,204,4,28,4
mit.POMDP_6_1,204,4,28,1
mit.POMDP_6_2,204,4,28,2
mit.POMDP_6_3,204,4,28,3
mit.POMDP_6_4,204,4,28,4
mit.POMDP_7_1,204,4,28,1
mit.POMDP_7_2,204,4,28,2
mit.POMDP_7_3,204,4,28,3
mit.POMDP_7_4,204,4,28,4
pentagon.POMDP_1_1,212,4,28,1
pentagon.POMDP_1_2,212,4,28,2
pentagon.POMDP_1_3,212,4,28,3
pentagon.POMDP_1_4,212,4,28,4
pentagon.POMDP_2_1,212,4,28,1
pentagon.POMDP_2_2,212,4,28,2
pentagon.POMDP_2_3,212,4,28,3
pentagon.POMDP_2_4,212,4,28,4
pentagon.POMDP_3_1,212,4,28,1
pentagon.POMDP_3_2,212,4,28,2
pentagon.POMDP_3_3,212,4,28,3
