hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index,error
algiers,0,2,0.000940,0.994980,convex,0.000000,0,0.000000
algiers,0,3,0.000940,0.995090,convex,0.000000,1,0.000000
algiers,0,4,0.000940,0.999710,convex,0.000000,2,0.000000
algiers,0,5,0.000940,0.999930,convex,1.000000,3,0.000000
algiers,0,6,0.000940,0.999980,convex,3.000000,4,0.000000
algiers,0,7,0.000940,1.000000,convex,11.000000,5,0.000000
algiers,1,2,0.001500,0.943770,convex,0.000000,6,0.000000
algiers,1,3,0.001500,0.944180,convex,0.000000,7,0.000000
algiers,1,4,0.001500,0.990260,convex,0.000000,8,0.000000
algiers,1,5,0.001500,0.991050,convex,1.000000,9,0.000000
algiers,1,6,0.001500,0.997630,convex,3.000000,10,0.000000
algiers,1,7,0.001500,0.998400,convex,15.000000,11,0.000000
almaden,0,2,0.000980,0.984130,convex,0.000000,6,0.000000
almaden,0,3,0.000980,0.984560,convex,0.000000,12,0.000000
almaden,0,4,0.000980,0.998470,convex,0.000000,13,0.000000
almaden,0,5,0.000980,0.999310,convex,1.000000,14,0.000000
almaden,0,6,0.000980,0.999770,convex,3.000000,15,0.000000
almaden,0,7,0.000980,0.999960,convex,11.000000,16,0.000000
almaden,1,2,0.001020,0.770630,convex,0.000000,17,0.000000
almaden,1,3,0.001020,0.771980,convex,0.000000,18,0.000000
almaden,1,4,0.001020,0.866000,convex,0.000000,19,0.000000
almaden,1,5,0.001020,0.868210,convex,1.000000,20,0.000000
almaden,1,6,0.001020,0.916190,convex,4.000000,21,0.000000
almaden,1,7,0.001020,0.918720,convex,27.000000,22,0.000000
athens,0,2,0.000810,0.989530,convex,0.000000,23,0.000000
athens,0,3,0.000810,0.989710,convex,0.000000,24,0.000000
athens,0,4,0.000810,0.999330,convex,0.000000,25,0.000000
athens,0,5,0.000810,0.999690,convex,1.000000,26,0.000000
athens,0,6,0.000810,0.999900,convex,3.000000,27,0.000000
athens,0,7,0.000810,0.999990,convex,12.000000,28,0.000000
athens,1,2,0.000880,0.975410,convex,0.000000,0,0.000000
athens,1,3,0.000880,0.975550,convex,0.000000,29,0.000000
athens,1,4,0.000880,0.997960,convex,0.000000,30,0.000000
athens,1,5,0.000880,0.998240,convex,1.000000,31,0.000000
athens,1,6,0.000880,0.999600,convex,3.000000,32,0.000000
athens,1,7,0.000880,0.999860,convex,13.000000,33,0.000000
auckland,0,2,0.001120,0.994250,convex,0.000000,0,0.000000
auckland,0,3,0.001120,0.994370,convex,0.000000,1,0.000000
auckland,0,4,0.001120,0.999660,convex,0.000000,34,0.000000
auckland,0,5,0.001120,0.999910,convex,1.000000,3,0.000000
auckland,0,6,0.001120,0.999970,convex,3.000000,35,0.000000
auckland,0,7,0.001120,1.000000,convex,11.000000,36,0.000000
auckland,1,2,0.001430,0.980390,convex,0.000000,23,0.000000
auckland,1,3,0.001430,0.980590,convex,0.000000,37,0.000000
auckland,1,4,0.001430,0.998490,convex,0.000000,38,0.000000
auckland,1,5,0.001430,0.998890,convex,1.000000,39,0.000000
auckland,1,6,0.001430,0.999650,convex,3.000000,40,0.000000
auckland,1,7,0.001430,0.999930,convex,11.000000,41,0.000000
belem,0,2,0.000830,0.958390,convex,0.000000,0,0.000000
belem,0,3,0.000830,0.958490,convex,0.000000,42,0.000000
belem,0,4,0.000830,0.994780,convex,0.000000,43,0.000000
belem,0,5,0.000830,0.994980,convex,1.000000,44,0.000000
belem,0,6,0.000830,0.999120,convex,4.000000,45,0.000000
belem,0,7,0.000830,0.999330,convex,20.000000,46,0.000000
belem,1,2,0.000940,0.979080,convex,0.000000,23,0.000000
belem,1,3,0.000940,0.979240,convex,0.000000,47,0.000000
belem,1,4,0.000940,0.998420,convex,0.000000,48,0.000000
belem,1,5,0.000940,0.998730,convex,1.000000,49,0.000000
belem,1,6,0.000940,0.999660,convex,3.000000,50,0.000000
belem,1,7,0.000940,0.999910,convex,13.000000,51,0.000000
boeblingen,0,2,0.001220,0.986310,convex,0.000000,52,0.000000
boeblingen,0,3,0.001220,0.986560,convex,0.000000,53,0.000000
boeblingen,0,4,0.001220,0.999000,convex,0.000000,54,0.000000
boeblingen,0,5,0.001220,0.999470,convex,1.000000,55,0.000000
boeblingen,0,6,0.001220,0.999830,convex,3.000000,56,0.000000
boeblingen,0,7,0.001220,0.999970,convex,11.000000,57,0.000000
boeblingen,1,2,0.001320,0.806300,convex,0.000000,58,0.000000
