,benchmark,horizon,total_time,0.0,6.666667,9.999977,10.0,14.0,15.0,16.666667,16.666637,18.333333,19.375,20.0,30.0
0,RockSample_POMDP_N3_G1_K2_R18,1,0.746911,0.746911,0.746911,0.746911,0.746911,0.746911,0.746911,0.746911,0.746911,0.746911,0.746911,0.746911,0.746911
1,RockSample_POMDP_N3_G1_K2_R18,2,1.831455,1.831455,1.831455,1.831455,1.831455,1.831455,1.831455,1.831455,1.831455,1.831455,1.831455,1.831455,1.831455
2,RockSample_POMDP_N3_G1_K2_R18,3,3.317204,3.317204,3.317204,3.317204,3.317204,3.317204,3.317204,3.317204,3.317204,3.317204,3.317204,3.317204,3.317204
3,RockSample_POMDP_N3_G1_K2_R18,4,5.1471,5.1471,5.1471,5.1471,5.1471,5.1471,5.1471,5.1471,5.1471,5.1471,5.1471,5.1471,5.1471
4,RockSample_POMDP_N3_G1_K2_R18,5,7.339211,7.339211,7.339211,7.339211,7.339211,7.339211,7.339211,7.339211,7.339211,7.339211,7.339211,7.339211,7.339211
5,RockSample_POMDP_N3_G1_K2_R18,6,timeout,timeout,timeout,timeout,2.183891,2.183891,2.183891,2.183891,2.183891,2.183891,2.183891,2.183891,2.183891
6,RockSample_POMDP_N3_G1_K2_R18,7,timeout,timeout,timeout,timeout,2.490457,2.490457,2.490457,2.490457,2.490457,2.490457,2.490457,2.490457,2.490457
7,RockSample_POMDP_N3_G1_K3_R13,1,1.46826,1.46826,1.46826,1.46826,1.46826,1.46826,1.46826,1.46826,1.46826,1.46826,1.46826,1.46826,1.46826
8,RockSample_POMDP_N3_G1_K3_R13,2,3.682926,3.682926,3.682926,3.682926,3.682926,3.682926,3.682926,3.682926,3.682926,3.682926,3.682926,3.682926,3.682926
9,RockSample_POMDP_N3_G1_K3_R13,3,6.633139,6.633139,6.633139,6.633139,6.633139,6.633139,6.633139,6.633139,6.633139,6.633139,6.633139,6.633139,6.633139
10,RockSample_POMDP_N3_G1_K3_R13,4,timeout,timeout,timeout,timeout,2.930412,2.930412,2.930412,2.930412,2.930412,2.930412,2.930412,2.930412,2.930412
11,RockSample_POMDP_N3_G1_K3_R13,5,timeout,timeout,timeout,timeout,3.701065,3.701065,3.701065,3.701065,3.701065,3.701065,3.701065,3.701065,3.701065
12,RockSample_POMDP_N3_G1_K3_R13,6,timeout,timeout,timeout,timeout,4.324672,4.324672,4.324672,4.324672,4.324672,4.324672,4.324672,4.324672,4.324672
13,RockSample_POMDP_N3_G1_K3_R13,7,timeout,timeout,timeout,timeout,5.06526,5.06526,5.06526,5.06526,5.06526,5.06526,5.06526,5.06526,5.06526
14,RockSample_POMDP_N3_G1_K4_R83,1,2.514072,2.514072,2.514072,2.514072,2.514072,2.514072,2.514072,2.514072,2.514072,2.514072,2.514072,2.514072,2.514072
15,RockSample_POMDP_N3_G1_K4_R83,2,6.277921,6.277921,6.277921,6.277921,6.277921,6.277921,6.277921,6.277921,6.277921,6.277921,6.277921,6.277921,6.277921
16,RockSample_POMDP_N3_G1_K4_R83,3,11.316916,11.316916,11.316916,11.316916,11.316916,11.316916,11.316916,11.316916,11.316916,11.316916,11.316916,11.316916,11.316916
17,RockSample_POMDP_N3_G1_K4_R83,4,timeout,timeout,timeout,timeout,5.08233,5.08233,5.08233,5.08233,5.08233,5.08233,5.08233,5.08233,5.08233
18,RockSample_POMDP_N3_G1_K4_R83,5,timeout,timeout,timeout,timeout,6.293935,6.293935,6.293935,6.293935,6.293935,6.293935,6.293935,6.293935,6.293935
19,RockSample_POMDP_N3_G1_K4_R83,6,timeout,timeout,timeout,timeout,7.499522,7.499522,7.499522,7.499522,7.499522,7.499522,7.499522,7.499522,7.499522
20,RockSample_POMDP_N3_G1_K4_R83,7,timeout,timeout,timeout,timeout,8.697478,8.697478,8.697478,8.697478,8.697478,8.697478,8.697478,8.697478,8.697478
21,RockSample_POMDP_N3_G2_K3_R4,1,3.963742,3.963742,3.963742,3.963742,3.963742,3.963742,3.963742,3.963742,3.963742,3.963742,3.963742,3.963742,3.963742
22,RockSample_POMDP_N3_G2_K3_R4,2,20.648849,20.648849,20.648849,20.648849,3.956902,3.956902,3.956902,3.956902,3.956902,3.956902,3.956902,3.956902,3.956902
23,RockSample_POMDP_N3_G2_K3_R4,3,17.703212,17.703212,17.703212,17.703212,17.703212,17.703212,17.703212,17.703212,17.703212,17.703212,17.703212,17.703212,17.703212
24,RockSample_POMDP_N3_G2_K3_R4,4,timeout,timeout,timeout,timeout,7.900617,7.900617,7.900617,7.900617,7.900617,7.900617,7.900617,7.900617,7.900617
25,RockSample_POMDP_N3_G2_K3_R4,5,timeout,timeout,timeout,timeout,9.412084,9.412084,9.412084,9.412084,9.412084,9.412084,9.412084,9.412084,9.412084
26,RockSample_POMDP_N3_G2_K3_R4,6,timeout,timeout,timeout,timeout,11.261841,11.261841,11.261841,11.261841,11.261841,11.261841,11.261841,11.261841,11.261841
27,RockSample_POMDP_N3_G2_K3_R4,7,timeout,timeout,timeout,timeout,272.591576,272.591576,272.591576,218.329096,218.329096,218.329096,218.329096,13.79654,13.79654
28,RockSample_POMDP_N4_G1_K2_R33,1,2.012393,2.012393,2.012393,2.012393,2.012393,2.012393,2.012393,2.012393,2.012393,2.012393,2.012393,2.012393,2.012393
29,RockSample_POMDP_N4_G1_K2_R33,2,5.030093,5.030093,5.030093,5.030093,5.030093,5.030093,5.030093,5.030093,5.030093,5.030093,5.030093,5.030093,5.030093
30,RockSample_POMDP_N4_G1_K2_R33,3,19.874442,19.874442,19.874442,19.874442,3.016336,3.016336,3.016336,3.016336,3.016336,3.016336,3.016336,3.016336,3.016336
31,RockSample_POMDP_N4_G1_K2_R33,4,14.029852,14.029852,14.029852,14.029852,14.029852,14.029852,14.029852,14.029852,14.029852,14.029852,14.029852,14.029852,14.029852
32,RockSample_POMDP_N4_G1_K2_R33,5,19.97721,19.97721,19.97721,19.97721,19.97721,19.97721,19.97721,19.97721,19.97721,19.97721,19.97721,19.97721,19.97721
33,RockSample_POMDP_N4_G1_K2_R33,6,43.406723,43.406723,43.406723,43.406723,6.021575,6.021575,6.021575,6.021575,6.021575,6.021575,6.021575,6.021575,6.021575
34,RockSample_POMDP_N4_G1_K2_R33,7,timeout,timeout,timeout,timeout,7.043774,7.043774,7.043774,7.043774,7.043774,7.043774,7.043774,7.043774,7.043774
35,RockSample_POMDP_N5_G1_K2_R96,1,4.676668,4.676668,4.676668,4.676668,4.676668,4.676668,4.676668,4.676668,4.676668,4.676668,4.676668,4.676668,4.676668
36,RockSample_POMDP_N5_G1_K2_R96,2,11.722376,11.722376,11.722376,11.722376,11.722376,11.722376,11.722376,11.722376,11.722376,11.722376,11.722376,11.722376,11.722376
37,RockSample_POMDP_N5_G1_K2_R96,3,21.185877,21.185877,21.185877,21.185877,21.185877,21.185877,21.185877,21.185877,21.185877,21.185877,21.185877,21.185877,21.185877
38,RockSample_POMDP_N5_G1_K2_R96,4,32.967959,32.967959,32.967959,32.967959,32.967959,32.967959,32.967959,32.967959,32.967959,32.967959,32.967959,32.967959,32.967959
39,RockSample_POMDP_N5_G1_K2_R96,5,47.024012,47.024012,47.024012,47.024012,47.024012,47.024012,47.024012,47.024012,47.024012,47.024012,47.024012,47.024012,47.024012
40,RockSample_POMDP_N5_G1_K2_R96,6,63.48667,63.48667,63.48667,63.48667,63.48667,63.48667,63.48667,63.48667,63.48667,63.48667,63.48667,63.48667,63.48667
41,RockSample_POMDP_N5_G1_K2_R96,7,81.83414,81.83414,81.83414,81.83414,81.83414,81.83414,81.83414,81.83414,81.83414,81.83414,81.83414,81.83414,81.83414
42,RockSample_POMDP_N6_G1_K2_R77,1,9.682502,9.682502,9.682502,9.682502,9.682502,9.682502,9.682502,9.682502,9.682502,9.682502,9.682502,9.682502,9.682502
43,RockSample_POMDP_N6_G1_K2_R77,2,24.144126,24.144126,24.144126,24.144126,24.144126,24.144126,24.144126,24.144126,24.144126,24.144126,24.144126,24.144126,24.144126
44,RockSample_POMDP_N6_G1_K2_R77,3,43.757862,43.757862,43.757862,43.757862,43.757862,43.757862,43.757862,43.757862,43.757862,43.757862,43.757862,43.757862,43.757862
45,RockSample_POMDP_N6_G1_K2_R77,4,67.697197,67.697197,67.697197,67.697197,67.697197,67.697197,67.697197,67.697197,67.697197,67.697197,67.697197,67.697197,67.697197
46,RockSample_POMDP_N6_G1_K2_R77,5,timeout,timeout,timeout,timeout,24.050328,24.050328,24.050328,24.050328,24.050328,24.050328,24.050328,24.050328,24.050328
47,RockSample_POMDP_N6_G1_K2_R77,6,131.803457,131.803457,131.803457,131.803457,131.803457,131.803457,131.803457,131.803457,131.803457,131.803457,131.803457,131.803457,131.803457
48,RockSample_POMDP_N6_G1_K2_R77,7,170.475304,170.475304,170.475304,170.475304,170.475304,170.475304,170.475304,170.475304,170.475304,170.475304,170.475304,170.475304,170.475304
49,RockSample_POMDP_N3_G1_K3_R4_,1,1.304772,1.304772,1.304772,1.304772,1.304772,1.304772,1.304772,1.304772,1.304772,1.304772,1.304772,1.304772,1.304772
