benchmark,horizon,total_time,useful_gaps,times
RockSample_POMDP_N3_G2_K3_R4.txt,7,timeout,10.0/16.666637/20.0,214.734942/162.974267/12.911721
RockSample_POMDP_N3_G2_K3_R5_.txt,7,timeout,14.0/16.666637/20.0,205.202806/153.575063/12.718293
RockSample_POMDP_N3_G3_K3_R6_.txt,7,timeout,10.0/20.0,65.583179/16.556184
RockSample_POMDP_N3_G2_K5_R7_.txt,5,timeout,10.0/20.0,289.43802/60.398253
RockSample_POMDP_N3_G2_K5_R7_.txt,6,timeout,9.999977/10.0/15.0/20.0,2850.84934/989.714879/580.956723/73.022158
RockSample_POMDP_N3_G2_K5_R7_.txt,7,timeout,10.0/15.0/20.0,1349.932869/1076.938035/84.886007
RockSample_POMDP_N3_G3_K5_R8_.txt,6,timeout,15.0/20.0,1509.046957/189.186391
RockSample_POMDP_N3_G3_K5_R8_.txt,7,timeout,19.375/20.0,3354.298341/219.097685
RockSample_POMDP_N3_G4_K5_R9_.txt,5,timeout,6.666667/10.0,2290.876245/222.28128
RockSample_POMDP_N3_G4_K5_R9_.txt,6,timeout,16.666667/18.333333/20.0,3404.402459/2406.558198/267.271925
RockSample_POMDP_N3_G4_K5_R9_.txt,7,timeout,13.333303/20.0,3427.793512/311.159537
