benchmark,horizon,time,final_set_size,size_to_convexify,n_initial_states,val
iff.POMDP_59_64_1,1,0.002834,1,50,2,12.800000
iff.POMDP_59_64_1,1,0.001725,1,500,2,12.800000
iff.POMDP_59_64_1,1,0.001715,1,1000,2,12.800000
iff.POMDP_59_64_1,1,0.001730,1,2000,2,12.800000
iff.POMDP_59_64_1,2,0.077949,1,50,2,18.387200
iff.POMDP_59_64_1,2,0.078294,1,500,2,18.387200
iff.POMDP_59_64_1,2,0.078079,1,1000,2,18.387200
iff.POMDP_59_64_1,2,0.078011,1,2000,2,18.387200
iff.POMDP_59_64_1,3,2.451549,1,50,2,19.842291
iff.POMDP_59_64_1,3,2.511021,1,500,2,19.842291
iff.POMDP_59_64_1,3,2.560061,1,1000,2,19.842291
iff.POMDP_59_64_1,3,2.557073,1,2000,2,19.842291
iff.POMDP_59_64_1,4,69.273556,1,50,2,19.987065
iff.POMDP_59_64_1,4,69.164600,1,500,2,19.987065
iff.POMDP_59_64_1,4,68.945270,1,1000,2,19.987065
iff.POMDP_59_64_1,4,69.054275,1,2000,2,19.987065
iff.POMDP_59_64_1,5,1649.517910,1,50,2,19.999009
iff.POMDP_59_64_1,5,1652.821341,1,500,2,19.999009
iff.POMDP_59_64_1,5,1606.865485,1,1000,2,19.999009
iff.POMDP_59_64_1,5,1507.579434,1,2000,2,19.999009
iff.POMDP_59_64_1,6,3600.010499,1,50,2,-1.000000
iff.POMDP_59_64_1,6,3600.003807,1,500,2,-1.000000
iff.POMDP_59_64_1,6,3600.010023,1,1000,2,-1.000000
iff.POMDP_59_64_1,6,3600.005008,1,2000,2,-1.000000
